Kind of Business,Jan 2010,Feb 2010,Mar 2010,Apr 2010,May 2010,Jun 2010,Jul 2010,Aug 2010,Sep 2010,Oct 2010,Nov 2010,Dec 2010,Total
"Retail and food services sales, total",314557,310925,360679,356333,365605,358604,361939,362627,345999,355209,365828,426663,4284968
Retail sales and food services excl motor vehicle and parts,264687,259103,293231,291965,300362,293904,294933,296553,284345,293823,306998,362151,3542055
Retail sales and food services excl gasoline stations,280412,279037,323445,318036,326437,320396,322885,324086,308829,316729,328755,387572,3836619
Retail sales and food services excl motor vehicle and parts and gasoline stations,230542,227215,255997,253668,261194,255696,255879,258012,247175,255343,269925,323060,3093706
"Retail sales, total",279044,275566,321305,316940,324820,319183,320915,322319,307638,315059,328381,386878,3818048
"Retail sales, total (excl. motor vehicle and parts dealers)",229174,223744,253857,252572,259577,254483,253909,256245,245984,253673,269551,322366,3075135
GAFO(1),79913,81419,89806,86903,91304,88173,89423,93182,85680,89244,102647,136680,1114374
Motor vehicle and parts dealers,49870,51822,67448,64368,65243,64700,67006,66074,61654,61386,58830,64512,742913
Automobile and other motor vehicle dealers,44566,46213,60806,57767,58792,57777,60194,59027,54920,54589,52325,57998,664974
Automobile dealers,42162,43455,56506,53010,54203,53074,55880,55146,51581,51489,49417,55257,621180
New car dealers,37035,37155,49926,47053,48346,46879,49697,48858,45610,45366,43813,49735,549473
Used car dealers,5127,6300,6580,5957,5857,6195,6183,6288,5971,6123,5604,5522,71707
"Automotive parts, acc., and tire stores",5304,5609,6642,6601,6451,6923,6812,7047,6734,6797,6505,6514,77939
"Furniture, home furn, electronics, and appliance stores",13963,14322,15044,13891,14545,14876,15203,15467,14755,14116,17115,21497,184794
Furniture and home furnishings stores,6324,6468,7271,6729,6932,6902,7243,7330,7101,6793,7630,8482,85205
Furniture stores,3683,3834,4091,3675,3965,3749,3964,3997,3933,3714,4009,4050,46664
Home furnishings stores,2641,2634,3180,3054,2967,3153,3279,3333,3168,3079,3621,4432,38541
Floor covering stores,993,1085,1264,1245,1121,1351,1318,1381,1295,1245,1165,1110,14573
All other home furnishings stores,1563,1467,1812,1715,1749,1709,1867,1861,1780,1739,2362,3244,22868
Electronics and appliance stores,7639,7854,7773,7162,7613,7974,7960,8137,7654,7323,9485,13015,99589
Household appliance stores,1112,1130,1223,1245,1365,1344,1355,1291,1226,1192,1460,1513,15456
Electronics stores,6527,6724,6550,5917,6248,6630,6605,6846,6428,6131,8025,11502,84133
Building mat. and garden equip. and supplies dealers,15348,15469,21691,26688,26238,25451,23100,21698,21261,21883,21462,20277,260566
Building mat. and supplies dealers,13738,13750,19009,21771,21871,21652,20304,19349,18915,18985,18714,17654,225712
Paint and wallpaper stores,466,484,670,703,727,791,774,784,736,682,638,517,7972
Hardware stores,1272,1227,1512,1730,1825,1714,1614,1502,1455,1524,1631,1700,18706
Food and beverage stores,47072,44275,48123,47050,49655,47813,49732,48357,47478,48583,48842,53550,580530
Grocery stores,42985,40061,43434,42236,44607,42877,44559,43431,42642,43536,43724,46658,520750
Supermarkets and other grocery (except convenience) stores,41185,38400,41542,40354,42658,40944,42598,41357,40710,41591,41897,44770,498006
"Beer, wine, and liquor stores",2878,2916,3214,3310,3467,3438,3657,3454,3365,3497,3524,4681,41401
Health and personal care stores,20721,20118,22474,21471,21335,21466,21342,21601,21297,21796,21869,24945,260435
Pharmacies and drug stores,17874,17171,19214,18340,18295,18372,18170,18328,18124,18611,18724,21007,222230
Gasoline stations,34145,31888,37234,38297,39168,38208,39054,38541,37170,38480,37073,39091,448349
Clothing and clothing access. stores,13216,14816,17390,17042,17727,16138,16842,17923,16232,17412,20003,28545,213286
Clothing stores,9902,10568,13125,12899,13124,12164,12677,13164,12322,13169,15104,20058,158276
Men's clothing stores,476,471,568,630,627,598,544,517,563,634,669,988,7285
Women's clothing stores,2304,2480,3293,3334,3308,2995,2847,2960,3061,3214,3454,4440,37690
Family clothing stores,4971,5593,6875,6725,6875,6334,6947,7280,6383,6943,8336,11246,84508
Other clothing stores,945,869,941,938,991,984,937,897,839,930,1035,1398,11704
Shoe stores,1706,2041,2345,2223,2216,2026,2190,2804,2085,2173,2318,3106,27233
Jewelry stores,1496,2093,1783,1794,2245,1802,1816,1811,1684,1906,2392,5087,25909
"Sporting goods, hobby, musical instrument, and book stores",6247,4995,6033,5659,5885,6237,6092,7381,6113,5658,6985,10942,78227
Sporting goods stores,2373,2303,3118,3001,3078,3413,3266,3415,2828,2611,3107,4894,37407
"Hobby, toy, and game stores",958,1005,1161,1065,1036,1030,1077,1046,1080,1262,2003,3082,15805
Book stores,2150,948,948,858,1015,1020,1003,2134,1400,905,978,1879,15238
General merchandise stores,43853,44756,48642,47749,50474,48289,48616,49312,45676,49036,55587,71767,603757
Department stores,12298,12819,14632,14183,14922,14273,13955,14709,13520,14387,18416,26641,184755
Department stores(excl. discount department stores),3910,4398,4870,5153,5133,4858,4653,4927,4824,5032,6607,10536,64901
Discount dept. stores,8388,8421,9762,9030,9789,9415,9302,9782,8696,9355,11809,16105,119854
Other general merchandise stores,31555,31937,34010,33566,35552,34016,34661,34603,32156,34649,37171,45126,419002
Warehouse clubs and superstores,28171,28258,29852,29350,31271,29834,30555,30574,28166,30371,32462,39129,367993
All other gen. merchandise stores,3384,3679,4158,4216,4281,4182,4106,4029,3990,4278,4709,5997,51009
Miscellaneous store retailers,7244,7362,8458,8245,9048,9232,8740,8785,8797,9159,8748,10416,104234
"Office supplies, stationery, and gift stores",2634,2530,2697,2562,2673,2633,2670,3099,2904,3022,2957,3929,34310
Office supplies and stationery stores,1738,1550,1628,1480,1411,1393,1418,1884,1687,1448,1462,1675,18774
"Gift, novelty, and souvenir stores",896,980,1069,1082,1262,1240,1252,1215,1217,1574,1495,2254,15536
Used merchandise stores,822,866,1013,964,997,883,977,973,974,1100,1014,1217,11800
Nonstore retailers,27365,25743,28768,26480,25502,26773,25188,27180,27205,27550,31867,41336,340957
Electronic shopping and mail-order houses,19565,18419,21629,20385,20021,21027,19875,21602,21327,21388,25275,32975,263488
Fuel dealers,4743,4147,3320,2458,2074,2020,1878,1982,2236,2659,3223,4784,35524
Food services and drinking places,35513,35359,39374,39393,40785,39421,41024,40308,38361,40150,37447,39785,466920
Drinking places,1545,1572,1736,1658,1690,1680,1787,1745,1673,1752,1647,1715,20200
Restaurants and other eating places,30952,30536,34162,33799,35152,34109,35598,34878,32260,34116,32037,34357,401956
Full service restaurants,15498,15211,17098,16980,17621,16714,17545,16981,15709,16566,15557,17219,198699
Limited service eating places,15454,15325,17064,16819,17531,17395,18053,17897,16551,17550,16480,17138,203257
