Kind of Business,Jan 1997,Feb 1997,Mar 1997,Apr 1997,May 1997,Jun 1997,Jul 1997,Aug 1997,Sep 1997,Oct 1997,Nov 1997,Dec 1997,Total
"Retail and food services sales, total",200389,197556,225133,220329,234190,227365,231521,235252,222807,232251,228284,271054,2726131.0
Retail sales and food services excl motor vehicle and parts,151994,147430,167468,164024,176251,169901,173049,177182,167947,176680,179711,220677,2072314.0
Retail sales and food services excl gasoline stations,184433,182644,208571,203965,216874,210316,214043,217519,206016,215089,212278,254683,2526431.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,136038,132518,150906,147660,158935,152852,155571,159449,151156,159518,163705,204306,1872614.0
"Retail sales, total",181073,178428,203750,199219,211516,205491,208856,211952,201415,210145,207533,249389,2468767.0
"Retail sales, total (excl. motor vehicle and parts dealers)",132678,128302,146085,142914,153577,148027,150384,153882,146555,154574,158960,199012,1814950.0
GAFO(1),47409,47286,55045,52639,57737,55641,55712,60967,55307,59385,67945,98314,713387.0
Motor vehicle and parts dealers,48395,50126,57665,56305,57939,57464,58472,58070,54860,55571,48573,50377,653817.0
Automobile and other motor vehicle dealers,44005,45910,52878,51308,52905,52422,53165,52861,49851,50341,43827,45800,595273.0
Automobile dealers,42327,43870,50056,48221,49695,49284,50159,49949,47367,47944,41943,43843,564658.0
New car dealers,38950,40036,45967,44106,45673,45196,46093,46085,43626,44122,38649,40469,518972.0
Used car dealers,3377,3834,4089,4115,4022,4088,4066,3864,3741,3822,3294,3374,45686.0
"Automotive parts, acc., and tire stores",4390,4216,4787,4997,5034,5042,5307,5209,5009,5230,4746,4577,58544.0
"Furniture, home furn, electronics, and appliance stores",11120,10671,11719,11351,11904,11781,12245,12680,12200,12540,13853,18308,150372.0
Furniture and home furnishings stores,5311,5116,5715,5670,6010,5805,6027,6263,6094,6369,6781,7554,72715.0
Furniture stores,3233,3114,3368,3250,3519,3343,3397,3621,3480,3605,3862,4085,41877.0
Home furnishings stores,2078,2002,2347,2420,2491,2462,2630,2642,2614,2764,2919,3469,30838.0
Floor covering stores,1162,1127,1298,1345,1340,1362,1376,1355,1451,1514,1368,1352,16050.0
All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Electronics and appliance stores,5809,5555,6004,5681,5894,5976,6218,6417,6106,6171,7072,10754,77657.0
Household appliance stores,778,724,809,792,841,919,970,886,828,858,903,1066,10374.0
Electronics stores,5031,4831,5195,4889,5053,5057,5248,5531,5278,5313,6169,9688,67283.0
Building mat. and garden equip. and supplies dealers,12505,12534,15084,17183,18390,17601,17455,16268,16662,17319,14815,15247,191063.0
Building mat. and supplies dealers,10767,10740,12563,14083,14943,14716,15012,14189,14506,15003,12799,12747,162068.0
Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Hardware stores,997,875,1020,1196,1332,1296,1271,1220,1171,1245,1141,1188,13952.0
Food and beverage stores,33175,30538,34446,32637,35522,33570,35396,35191,33039,34401,34128,37330,409373.0
Grocery stores,30534,27985,31513,29853,32412,30527,32232,32032,30142,31319,31032,32989,372570.0
Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
