Kind of Business,Jan 1997,Feb 1997,Mar 1997,Apr 1997,May 1997,Jun 1997,Jul 1997,Aug 1997,Sep 1997,Oct 1997,Nov 1997,Dec 1997,Total
"Beer, wine, and liquor stores",1706,1621,1853,1817,2060,2002,2098,2079,1892,2050,2082,2821,24081.0
Health and personal care stores,9306,9022,9962,9482,9965,9728,9860,9769,9603,10028,9716,12231,118672.0
Pharmacies and drug stores,7889,7615,8330,7885,8300,7968,8065,7997,7930,8309,8146,10389,98823.0
Gasoline stations,15956,14912,16562,16364,17316,17049,17478,17733,16791,17162,16006,16371,199700.0
Clothing and clothing access. stores,8194,8835,10840,10131,11505,10654,10734,12461,10942,11635,13244,21118,140293.0
Clothing stores,5785,5902,7640,7110,7916,7444,7540,8802,7797,8436,9522,13828,97722.0
Men's clothing stores,697,633,746,716,809,793,737,846,761,870,987,1474,10069.0
Women's clothing stores,1699,1813,2353,2227,2429,2199,2103,2334,2265,2358,2486,3556,27822.0
Family clothing stores,2487,2542,3396,3144,3539,3404,3588,4202,3558,3973,4708,6702,45243.0
Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Shoe stores,1279,1429,1902,1663,1888,1770,1773,2200,1702,1689,1778,2377,21450.0
Jewelry stores,1034,1400,1175,1258,1585,1330,1313,1348,1334,1395,1799,4658,19629.0
"Sporting goods, hobby, musical instrument, and book stores",4311,3588,4209,4177,4372,4456,4298,4949,4547,4463,5411,8911,57692.0
Sporting goods stores,1337,1331,1609,1726,1788,1970,1838,1955,1595,1521,1651,2846,21167.0
"Hobby, toy, and game stores",730,791,1032,896,947,940,963,958,971,1141,2009,3643,15021.0
Book stores,1558,825,813,806,894,875,830,1301,1158,923,994,1765,12742.0
General merchandise stores,21164,21560,25681,24490,27443,26328,25897,28066,24928,27906,32529,45371,331363.0
Department stores,13463,14077,17084,16180,18118,17259,16673,18633,16229,18259,22114,32019,220108.0
Department stores(excl. discount department stores),5528,5880,7143,6714,7475,6974,6742,7924,6984,7840,9708,15073,93985.0
Discount dept. stores,7935,8197,9941,9466,10643,10285,9931,10709,9245,10419,12406,16946,126123.0
Other general merchandise stores,7701,7483,8597,8310,9325,9069,9224,9433,8699,9647,10415,13352,111255.0
Warehouse clubs and superstores,5696,5434,6243,6104,6852,6697,6817,6947,6448,7186,7734,9761,81919.0
All other gen. merchandise stores,2005,2049,2354,2206,2473,2372,2407,2486,2251,2461,2681,3591,29336.0
Miscellaneous store retailers,6415,6829,6975,7035,7465,7464,7526,7661,7565,7614,7406,10277,90232.0
"Office supplies, stationery, and gift stores",2620,2632,2596,2490,2513,2422,2538,2811,2690,2841,2908,4606,33667.0
Office supplies and stationery stores,1686,1448,1394,1345,1291,1234,1330,1551,1529,1526,1310,1690,17334.0
"Gift, novelty, and souvenir stores",934,1184,1202,1145,1222,1188,1208,1260,1161,1315,1598,2916,16333.0
Used merchandise stores,621,687,620,559,558,584,667,674,691,766,740,891,8058.0
Nonstore retailers,10532,9813,10607,10064,9695,9396,9495,9104,10278,11506,11852,13848,126190.0
Electronic shopping and mail-order houses,5042,4577,5594,5491,5304,5204,5198,5165,6080,6693,7029,8690,70067.0
Fuel dealers,3016,2311,1996,1706,1461,1256,1273,1352,1452,1752,1920,2446,21941.0
Food services and drinking places,19316,19128,21383,21110,22674,21874,22665,23300,21392,22106,20751,21665,257364.0
Drinking places,1051,1000,1102,1094,1143,1094,1175,1212,1109,1185,1102,1112,13379.0
Restaurants and other eating places,16718,16625,18627,18361,19759,18986,19737,20287,18434,19081,17940,18753,223308.0
Full service restaurants,8658,8610,9559,9301,9942,9428,10036,10481,9505,9813,9192,9661,114186.0
Limited service eating places,8060,8015,9068,9060,9817,9558,9701,9806,8929,9268,8748,9092,109122.0
