Kind of Business,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Total
"Retail and food services sales, total",335587,337314,387088,380775,391999,388700,384682,394609,375025,379482,391220,451821,4598302
Retail sales and food services excl motor vehicle and parts,277706,274739,311920,311233,322722,318499,315504,323314,308069,313569,327252,380837,3785364
Retail sales and food services excl gasoline stations,297569,300645,342739,334922,343754,341186,336482,346289,329582,334367,348244,409066,4064845
Retail sales and food services excl motor vehicle and parts and gasoline stations,239688,238070,267571,265380,274477,270985,267304,274994,262626,268454,284276,338082,3251907
"Retail sales, total",298626,299920,345052,339014,348979,346620,341381,352224,333642,337067,351517,408910,4102952
"Retail sales, total (excl. motor vehicle and parts dealers)",240745,237345,269884,269472,279702,276419,272203,280929,266686,271154,287549,337926,3290014
GAFO(1),80468,83815,92506,91906,93667,92488,92485,97416,90746,92528,106010,141631,1155666
Motor vehicle and parts dealers,57881,62575,75168,69542,69277,70201,69178,71295,66956,65913,63968,70984,812938
Automobile and other motor vehicle dealers,52158,56531,67947,62778,62333,62666,62092,63556,59708,58769,57102,64334,729974
Automobile dealers,49715,53613,63613,58223,57538,57741,57556,59357,56243,55583,54192,61131,684505
New car dealers,43739,46318,55952,51777,51278,51281,51208,52919,50292,49873,48662,55489,608788
Used car dealers,5976,7295,7661,6446,6260,6460,6348,6438,5951,5710,5530,5642,75717
"Automotive parts, acc., and tire stores",5723,6044,7221,6764,6944,7535,7086,7739,7248,7144,6866,6650,82964
"Furniture, home furn, electronics, and appliance stores",13829,14276,15727,14231,14711,14913,15276,16145,15221,14865,18124,22246,189564
Furniture and home furnishings stores,6244,6488,7530,6896,7086,7039,7241,7685,7450,6967,7931,9029,87586
Furniture stores,3576,3871,4304,3902,3861,3792,4002,4132,4051,3741,4126,4300,47658
Home furnishings stores,2668,2617,3226,2994,3225,3247,3239,3553,3399,3226,3805,4729,39928
Floor covering stores,947,959,1211,1127,1261,1295,1271,1472,1395,1302,1263,1255,14758
All other home furnishings stores,1629,1564,1907,1783,1874,1869,1886,1989,1907,1828,2451,3393,24080
Electronics and appliance stores,7585,7788,8197,7335,7625,7874,8035,8460,7771,7898,10193,13217,101978
Household appliance stores,1077,1141,1215,1181,1274,1314,1334,1360,1383,1277,1612,1639,15807
Electronics stores,6508,6647,6982,6154,6351,6560,6701,7100,6388,6621,8581,11578,86171
Building mat. and garden equip. and supplies dealers,16004,16002,21963,24378,27713,27011,23528,23730,22499,23077,22372,21203,269480
Building mat. and supplies dealers,14265,14196,18974,20310,22769,22556,20828,21167,20054,19992,19415,18123,232649
Paint and wallpaper stores,510,533,685,704,708,853,801,862,791,740,667,569,8423
Hardware stores,1322,1240,1498,1747,2033,1918,1759,1779,1626,1705,1694,1720,20041
Food and beverage stores,48438,45575,49729,50588,51441,51040,52522,51575,49925,50887,51352,56065,609137
Grocery stores,44282,41229,45068,45586,46318,45883,47171,46448,44877,45725,46046,48843,547476
Supermarkets and other grocery (except convenience) stores,42501,39485,43103,43535,44129,43716,44937,44275,42867,43751,44156,46916,523371
"Beer, wine, and liquor stores",2888,2984,3249,3363,3471,3551,3740,3576,3517,3515,3646,4892,42392
Health and personal care stores,22218,21284,23623,22246,22766,22381,21864,22982,22173,22510,22326,25239,271612
Pharmacies and drug stores,19155,18117,20042,18944,19505,19081,18541,19481,18845,19302,19103,21133,231249
Gasoline stations,38018,36669,44349,45853,48245,47514,48200,48320,45443,45115,42976,42755,533457
Clothing and clothing access. stores,13703,15931,18252,18647,18771,17783,17937,19263,17999,18255,20957,31108,228606
Clothing stores,10162,11370,13715,13859,13648,13271,13415,13889,13431,13793,15816,21726,168095
Men's clothing stores,487,497,599,690,677,661,587,549,643,682,707,1081,7860
Women's clothing stores,2345,2753,3449,3582,3508,3285,3060,3027,3301,3297,3625,4816,40048
Family clothing stores,5179,5894,7017,7076,6973,6797,7213,7649,6823,7178,8551,11922,88272
Other clothing stores,968,878,1064,985,1027,1070,985,1001,930,1020,1147,1596,12671
Shoe stores,1778,2186,2379,2422,2322,2243,2347,3022,2320,2287,2499,3455,29260
Jewelry stores,1619,2228,1976,2194,2624,2093,1983,2179,2081,2003,2454,5616,29050
"Sporting goods, hobby, musical instrument, and book stores",6073,5190,6172,6000,5960,6256,5997,7627,6372,5581,6904,10515,78647
Sporting goods stores,2414,2456,3266,3246,3169,3505,3334,3623,3011,2746,3227,4998,38995
"Hobby, toy, and game stores",972,1030,1201,1192,1073,1069,1089,1074,1151,1252,1964,3052,16119
Book stores,1950,960,881,797,936,902,865,2142,1335,751,797,1400,13716
General merchandise stores,44322,45804,49675,50480,51435,50906,50660,51266,48238,50877,57197,73906,624766
Department stores,11895,12857,14178,14513,14484,14719,13901,14675,13598,14264,18035,26242,183361
Department stores(excl. discount department stores),3959,4507,4970,5233,5162,5174,4781,4976,4895,4994,6630,10457,65738
Discount dept. stores,7936,8350,9208,9280,9322,9545,9120,9699,8703,9270,11405,15785,117623
Other general merchandise stores,32427,32947,35497,35967,36951,36187,36759,36591,34640,36613,39162,47664,441405
Warehouse clubs and superstores,28851,28956,31017,31432,32353,31560,32369,32240,30322,32069,34024,41150,386343
All other gen. merchandise stores,3576,3991,4480,4535,4598,4627,4390,4351,4318,4544,5138,6514,55062
Miscellaneous store retailers,7509,8108,8661,8638,9533,9482,9133,9604,9254,9270,8918,10291,108401
"Office supplies, stationery, and gift stores",2541,2614,2680,2548,2790,2630,2615,3115,2916,2950,2828,3856,34083
