Kind of Business,Jan 2011,Feb 2011,Mar 2011,Apr 2011,May 2011,Jun 2011,Jul 2011,Aug 2011,Sep 2011,Oct 2011,Nov 2011,Dec 2011,Total
Office supplies and stationery stores,1603,1489,1578,1369,1368,1301,1345,1912,1645,1387,1451,1669,18117
"Gift, novelty, and souvenir stores",938,1125,1102,1179,1422,1329,1270,1203,1271,1563,1377,2187,15966
Used merchandise stores,942,1029,1182,1066,1063,1004,1009,1210,1115,1186,1182,1260,13248
Nonstore retailers,30631,28506,31733,28411,29127,29133,27086,30417,29562,30717,36423,44598,376344
Electronic shopping and mail-order houses,22221,20666,23815,21954,23133,23110,21664,24422,23446,24090,29238,36938,294697
Fuel dealers,5375,4684,4072,2918,2435,2269,2086,2366,2595,3067,3491,4111,39469
Food services and drinking places,36961,37394,42036,41761,43020,42080,43301,42385,41383,42415,39703,42911,495350
Drinking places,1557,1616,1825,1754,1751,1720,1829,1717,1721,1742,1631,1705,20568
Restaurants and other eating places,32237,32452,36502,35950,37165,36409,37789,36986,35130,36144,34057,37307,428128
Full service restaurants,16211,16248,18272,17959,18608,18058,18897,18311,17502,17991,16779,19044,213880
Limited service eating places,16026,16204,18230,17991,18557,18351,18892,18675,17628,18153,17278,18263,214248
