Kind of Business,Jan 2006,Feb 2006,Mar 2006,Apr 2006,May 2006,Jun 2006,Jul 2006,Aug 2006,Sep 2006,Oct 2006,Nov 2006,Dec 2006,Total
Household appliance stores,1325,1298,1457,1363,1471,1503,1518,1569,1482,1464,1594,1701,17745
Electronics stores,7450,6938,7223,6427,6903,7006,6933,7482,6888,6594,8745,13757,92346
Building mat. and garden equip. and supplies dealers,23330,22823,29657,31112,34154,31748,28225,29303,26467,27821,25932,23558,334130
Building mat. and supplies dealers,21699,21119,26691,26428,29070,27883,25437,26886,24150,25298,23414,21307,299382
Paint and wallpaper stores,744,716,895,847,982,985,918,998,884,900,795,668,10332
Hardware stores,1343,1279,1554,1755,2004,1877,1752,1726,1598,1654,1691,1750,19983
Food and beverage stores,41168,39281,42901,42455,44850,44052,44899,44784,43148,43709,44640,49345,525232
Grocery stores,37489,35506,38827,38269,40341,39569,40357,40340,38766,39322,39989,42924,471699
Supermarkets and other grocery (except convenience) stores,35773,33851,36978,36338,38267,37510,38247,38231,36817,37407,38171,41102,448692
"Beer, wine, and liquor stores",2424,2519,2753,2791,3017,3055,3117,3024,2997,2913,3137,4269,36016
Health and personal care stores,17892,17218,19024,17763,19038,18454,18006,18813,18100,18892,18890,21246,223336
Pharmacies and drug stores,15257,14681,16174,15225,16271,15720,15426,16092,15483,16382,16252,18055,191018
Gasoline stations,30800,29253,33887,36002,39016,39126,40585,41051,34830,33208,31556,32662,421976
Clothing and clothing access. stores,12893,14474,16386,16848,17103,16505,16275,17832,16767,17253,19391,31462,213189
Clothing stores,9489,9824,12148,12495,12204,12178,12107,12948,12435,12964,14375,21379,154546
Men's clothing stores,570,557,660,693,693,704,623,716,718,781,823,1306,8844
Women's clothing stores,2518,2518,3194,3379,3340,3183,2923,2960,3164,3197,3414,5019,38809
Family clothing stores,4670,5017,6223,6460,6270,6342,6551,7008,6516,6936,7910,11809,81712
Other clothing stores,824,786,902,833,845,904,864,961,832,859,966,1466,11042
Shoe stores,1724,1919,2133,2342,2178,2055,2103,2645,2174,2157,2214,3038,26682
Jewelry stores,1560,2600,1968,1876,2568,2122,1928,2093,2017,1993,2630,6748,30103
"Sporting goods, hobby, musical instrument, and book stores",6344,5171,5975,5665,5911,6113,5905,7213,6442,5693,6855,11247,78534
Sporting goods stores,2100,2154,2792,2713,2776,3012,2872,3085,2752,2447,2710,4456,33869
"Hobby, toy, and game stores",1063,1022,1117,1094,1040,1048,1070,1043,1086,1205,1933,3299,16020
Book stores,2225,1101,1092,987,1176,1238,1135,2142,1554,1054,1142,2132,16978
General merchandise stores,38667,39537,43272,44249,45394,44758,43941,45185,42594,44707,51829,70123,554256
Department stores,14033,14800,16490,16811,17005,16706,16025,16997,15781,16675,21167,30665,213155
Department stores(excl. discount department stores),5048,5717,6206,6194,6437,6058,5694,6236,5918,6158,7982,12649,80297
Discount dept. stores,8985,9083,10284,10617,10568,10648,10331,10761,9863,10517,13185,18016,132858
Other general merchandise stores,24634,24737,26782,27438,28389,28052,27916,28188,26813,28032,30662,39458,341101
Warehouse clubs and superstores,21710,21697,23380,24005,24820,24528,24545,24737,23513,24515,26605,33901,297956
All other gen. merchandise stores,2924,3040,3402,3433,3569,3524,3371,3451,3300,3517,4057,5557,43145
Miscellaneous store retailers,8671,8550,9088,8735,10156,9624,8970,9663,9242,9512,9621,11862,113694
"Office supplies, stationery, and gift stores",3146,3133,3137,2824,3175,3080,3097,3777,3450,3590,3672,5209,41290
Office supplies and stationery stores,2156,1870,1936,1599,1735,1650,1614,2285,2031,1793,1875,2244,22788
"Gift, novelty, and souvenir stores",990,1263,1201,1225,1440,1430,1483,1492,1419,1797,1797,2965,18502
Used merchandise stores,875,777,888,891,862,848,754,846,873,920,907,972,10413
Nonstore retailers,23280,21965,25117,21171,22671,21909,20515,23323,22304,24580,26329,31179,284343
Electronic shopping and mail-order houses,15811,14531,17046,15024,16071,15795,14768,16897,16050,17497,19037,23724,202251
Fuel dealers,3861,3828,3797,2523,2432,2294,2131,2497,2382,2945,3179,3611,35480
Food services and drinking places,32394,31634,35840,35141,36167,35771,36298,36640,35439,35820,33839,37803,422786
Drinking places,1470,1455,1664,1589,1653,1639,1695,1694,1631,1640,1556,1647,19333
Restaurants and other eating places,28260,27378,30970,30142,31104,30986,31548,31728,30094,30416,29023,32631,364280
Full service restaurants,14514,14020,15680,15287,15737,15651,15940,16064,15414,15480,14939,17365,186091
Limited service eating places,13746,13358,15290,14855,15367,15335,15608,15664,14680,14936,14084,15266,178189
