Kind of Business,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Total
Discount dept. stores,7209,7612,8689,8523,9077,8580,8582,9554,7956,8660,10608,14309,109359
Other general merchandise stores,36898,37463,40935,39932,43160,41146,41219,43211,38818,41781,45400,51873,501836
Warehouse clubs and superstores,32389,32621,35795,34661,37496,35791,35863,37892,33739,36249,39599,44654,436749
All other gen. merchandise stores,4509,4842,5140,5271,5664,5355,5356,5319,5079,5532,5801,7219,65087
Miscellaneous store retailers,8094,8173,8929,8974,10564,9706,9866,10112,9666,10507,9574,11128,115293
"Office supplies, stationery, and gift stores",2477,2404,2451,2437,2554,2411,2710,3168,2766,3259,2535,3515,32687
Office supplies and stationery stores,1474,1280,1337,1249,1192,1080,1241,1679,1375,1233,1149,1372,15661
"Gift, novelty, and souvenir stores",1003,1124,1114,1188,1362,1331,1469,1489,1391,2026,1386,2143,17026
Used merchandise stores,1090,1136,1313,1304,1330,1281,1381,1403,1346,1462,1297,1281,15624
Nonstore retailers,37481,34852,37550,35921,35901,35240,35936,35917,36663,39004,42629,57088,464182
Electronic shopping and mail-order houses,27458,25698,29047,29021,29441,29340,29985,29993,30474,31992,35481,49078,377008
Fuel dealers,6624,5829,4862,3091,2318,1993,2033,2064,2324,2889,3414,4186,41627
Food services and drinking places,42930,42896,49410,47703,51058,47901,48708,50117,47121,50204,47692,50862,576602
Drinking places,1643,1627,1895,1731,1895,1753,1740,1817,1724,1866,1728,1775,21194
Restaurants and other eating places,37569,37333,43202,41442,44376,42081,42953,44039,40402,43070,41334,44699,502500
Full service restaurants,19602,19645,22458,20921,22551,20896,21263,22102,20117,21536,21056,23290,255437
Limited service eating places,17967,17688,20744,20521,21825,21185,21690,21937,20285,21534,20278,21409,247063
