Kind of Business,Jan 2009,Feb 2009,Mar 2009,Apr 2009,May 2009,Jun 2009,Jul 2009,Aug 2009,Sep 2009,Oct 2009,Nov 2009,Dec 2009,Total
"Retail and food services sales, total",310188,299412,328526,329854,347728,344405,348071,353392,324646,338610,339363,400281,4064476
Retail sales and food services excl motor vehicle and parts,260095,249406,271393,273915,289996,284883,285771,287210,272523,283744,289339,344429,3392704
Retail sales and food services excl gasoline stations,283647,273792,300076,300417,314770,308460,311732,316412,290298,303585,305021,365032,3673242
Retail sales and food services excl motor vehicle and parts and gasoline stations,233554,223786,242943,244478,257038,248938,249432,250230,238175,248719,254997,309180,3001470
"Retail sales, total",273998,264465,290068,292041,307481,306050,308847,314505,288071,300360,303850,362735,3612471
"Retail sales, total (excl. motor vehicle and parts dealers)",223905,214459,232935,236102,249749,246528,246547,248323,235948,245494,253826,306883,2940699
GAFO(1),81348,80415,84735,84743,90415,85806,86616,92055,83173,88123,97840,132928,1088197
Motor vehicle and parts dealers,50093,50006,57133,55939,57732,59522,62300,66182,52123,54866,50024,55852,671772
Automobile and other motor vehicle dealers,44342,44283,50742,49549,51414,52877,55733,59811,46011,48457,44357,49970,597546
Automobile dealers,41559,41331,46582,45093,46510,48096,51112,55695,42315,45284,41464,46955,551996
New car dealers,36015,35243,40565,39441,41068,42442,45635,49947,37120,40085,36810,42194,486565
Used car dealers,5544,6088,6017,5652,5442,5654,5477,5748,5195,5199,4654,4761,65431
"Automotive parts, acc., and tire stores",5751,5723,6391,6390,6318,6645,6567,6371,6112,6409,5667,5882,74226
"Furniture, home furn, electronics, and appliance stores",15200,14721,14504,13538,14294,14495,14737,14991,14215,13926,16806,21221,182648
Furniture and home furnishings stores,6796,6593,6907,6608,6974,6922,7194,7159,6967,6853,7375,8401,84749
Furniture stores,3842,3914,3851,3574,3844,3703,3803,3939,3827,3723,3848,3942,45810
Home furnishings stores,2954,2679,3056,3034,3130,3219,3391,3220,3140,3130,3527,4459,38939
Floor covering stores,1182,1138,1230,1256,1247,1422,1441,1338,1319,1304,1215,1210,15302
All other home furnishings stores,1667,1447,1714,1672,1786,1699,1848,1795,1730,1732,2222,3156,22468
Electronics and appliance stores,8404,8128,7597,6930,7320,7573,7543,7832,7248,7073,9431,12820,97899
Household appliance stores,1258,1153,1194,1194,1253,1280,1303,1307,1203,1257,1398,1489,15289
Electronics stores,7146,6975,6403,5736,6067,6293,6240,6525,6045,5816,8033,11331,82610
Building mat. and garden equip. and supplies dealers,17600,17064,21503,24970,26952,26356,24004,21522,21302,21265,19916,19183,261637
Building mat. and supplies dealers,15702,15177,18571,20626,22160,22043,21029,19344,19376,19076,17562,16808,227474
Paint and wallpaper stores,560,558,656,713,707,787,798,747,718,668,561,483,7956
Hardware stores,1341,1226,1494,1727,1954,1759,1597,1516,1450,1540,1452,1611,18667
Food and beverage stores,47103,42602,45731,46450,49142,46954,48915,47863,46219,47895,47405,52139,568418
Grocery stores,42942,38522,41312,41781,44034,42147,43839,42995,41538,43020,42508,45395,510033
Supermarkets and other grocery (except convenience) stores,41365,36975,39627,40084,42227,40312,41970,41155,39768,41222,40753,43570,489028
"Beer, wine, and liquor stores",2913,2781,3024,3130,3467,3307,3555,3399,3263,3425,3356,4625,40245
Health and personal care stores,20691,19840,21535,21059,21079,20971,20838,20585,20615,21342,20607,23632,252794
Pharmacies and drug stores,17741,17028,18501,18226,18146,17944,17957,17604,17770,18492,17784,20067,217260
Gasoline stations,26541,25620,28450,29437,32958,35945,36339,36980,34348,35025,34342,35249,391234
Clothing and clothing access. stores,13387,14684,15563,16337,17264,15434,16007,17656,15630,17053,18332,27128,204475
Clothing stores,10122,10514,11758,12320,12752,11535,12045,12967,11762,13022,13840,18733,151370
Men's clothing stores,524,496,542,669,650,607,575,551,579,610,620,930,7353
Women's clothing stores,2285,2424,2953,3264,3280,2894,2716,2942,2939,3095,3189,4074,36055
Family clothing stores,5332,5621,6092,6246,6526,5990,6586,7185,6067,7031,7670,10578,80924
Other clothing stores,936,859,921,914,989,932,901,865,819,914,955,1351,11356
Shoe stores,1682,1945,2056,2141,2116,1903,2050,2715,1972,2064,2100,2902,25646
Jewelry stores,1472,2110,1621,1755,2241,1832,1754,1824,1766,1827,2236,5260,25698
"Sporting goods, hobby, musical instrument, and book stores",6428,5071,5718,5693,5982,6130,6029,7503,6205,5594,6496,10829,77678
Sporting goods stores,2442,2347,2894,2959,3119,3290,3209,3418,2779,2571,2788,4758,36574
"Hobby, toy, and game stores",1034,1012,1099,1089,1068,1025,1062,1011,1067,1200,1850,3013,15530
Book stores,2189,970,945,913,1053,1040,1038,2296,1522,960,965,1911,15802
General merchandise stores,43461,43283,46336,46602,50065,47088,47096,48826,44201,48508,53487,69965,588918
Department stores,12651,12869,14058,14575,15380,14202,14171,15338,13506,14973,18276,26584,186583
Department stores(excl. discount department stores),3988,4313,4655,4976,5242,4647,4537,4994,4628,5100,6432,9828,63340
