Kind of Business,Jan 2009,Feb 2009,Mar 2009,Apr 2009,May 2009,Jun 2009,Jul 2009,Aug 2009,Sep 2009,Oct 2009,Nov 2009,Dec 2009,Total
Discount dept. stores,8663,8556,9403,9599,10138,9555,9634,10344,8878,9873,11844,16756,123243
Other general merchandise stores,30810,30414,32278,32027,34685,32886,32925,33488,30695,33535,35211,43381,402335
Warehouse clubs and superstores,27629,26999,28551,28168,30580,29009,29108,29741,26931,29427,30786,37600,354529
All other gen. merchandise stores,3181,3415,3727,3859,4105,3877,3817,3747,3764,4108,4425,5781,47806
Miscellaneous store retailers,7624,7784,8238,8258,8883,8870,8486,8374,8396,8705,8070,10057,101745
"Office supplies, stationery, and gift stores",2872,2656,2614,2573,2810,2659,2747,3079,2922,3042,2719,3785,34478
Office supplies and stationery stores,1924,1607,1600,1449,1421,1405,1469,1903,1745,1558,1480,1836,19397
"Gift, novelty, and souvenir stores",948,1049,1014,1124,1389,1254,1278,1176,1177,1484,1239,1949,15081
Used merchandise stores,805,894,971,927,860,860,874,892,925,983,903,978,10872
Nonstore retailers,25870,23790,25357,23758,23130,24285,24096,24023,24817,26181,28365,37480,311152
Electronic shopping and mail-order houses,18178,16779,18458,17894,17773,18638,18569,18697,19164,19739,22000,29736,235625
Fuel dealers,4584,3707,3270,2310,1895,1970,1843,1868,2067,2694,3002,4249,33459
Food services and drinking places,36190,34947,38458,37813,40247,38355,39224,38887,36575,38250,35513,37546,452005
Drinking places,1593,1522,1764,1665,1750,1728,1782,1678,1605,1692,1559,1628,19966
Restaurants and other eating places,31486,30307,33287,32410,34642,33019,33932,33681,30801,32351,30383,32427,388726
Full service restaurants,16166,15371,16789,16076,17294,16248,16704,16634,15219,16098,14959,16289,193847
Limited service eating places,15320,14936,16498,16334,17348,16771,17228,17047,15582,16253,15424,16138,194879
