Kind of Business,Jan 1998,Feb 1998,Mar 1998,Apr 1998,May 1998,Jun 1998,Jul 1998,Aug 1998,Sep 1998,Oct 1998,Nov 1998,Dec 1998,Total
"Sporting goods, hobby, musical instrument, and book stores",4413,3896,4422,4452,4557,4783,4584,5158,4800,4669,5424,9283,60441.0
Sporting goods stores,1381,1407,1754,1820,1938,2120,1975,2038,1701,1607,1685,2858,22284.0
"Hobby, toy, and game stores",858,883,987,1022,986,1016,1042,1025,1005,1197,2011,3801,15833.0
Book stores,1463,921,882,854,919,939,881,1385,1246,953,990,1849,13282.0
General merchandise stores,22487,23020,26112,27434,29179,27795,27392,29007,26687,29357,34377,48234,351081.0
Department stores,13887,14640,16616,17544,18581,17234,16908,18362,16467,18211,22164,32676,223290.0
Department stores(excl. discount department stores),5474,6070,6982,7221,7619,6911,6837,7777,6894,7654,9592,15277,94308.0
Discount dept. stores,8413,8570,9634,10323,10962,10323,10071,10585,9573,10557,12572,17399,128982.0
Other general merchandise stores,8600,8380,9496,9890,10598,10561,10484,10645,10220,11146,12213,15558,127791.0
Warehouse clubs and superstores,6661,6396,7275,7582,8167,8178,8118,8286,7964,8639,9436,11791,98493.0
All other gen. merchandise stores,1939,1984,2221,2308,2431,2383,2366,2359,2256,2507,2777,3767,29298.0
Miscellaneous store retailers,7098,7272,7582,7583,8054,8239,8221,8257,8256,8358,8253,11196,98369.0
"Office supplies, stationery, and gift stores",2784,2746,2816,2667,2722,2736,2866,3010,3188,3213,3340,5032,37120.0
Office supplies and stationery stores,1730,1516,1584,1412,1392,1421,1512,1675,1866,1760,1663,1991,19522.0
"Gift, novelty, and souvenir stores",1054,1230,1232,1255,1330,1315,1354,1335,1322,1453,1677,3041,17598.0
Used merchandise stores,633,710,725,665,673,698,782,762,770,844,795,966,9023.0
Nonstore retailers,10470,9970,11326,10391,10100,10217,10264,10044,10884,12327,12990,14921,133904.0
Electronic shopping and mail-order houses,5794,5455,6528,6096,6111,5977,6115,6056,6711,7483,8156,9815,80297.0
Fuel dealers,2324,1996,1984,1515,1285,1209,1177,1140,1269,1483,1585,1958,18925.0
Food services and drinking places,20408,20096,22340,22241,23872,23200,23744,23857,22328,23735,22022,23351,271194.0
Drinking places,1108,1089,1199,1126,1177,1154,1232,1205,1143,1227,1117,1180,13957.0
Restaurants and other eating places,17721,17401,19356,19328,20728,20073,20643,20754,19286,20475,19022,20153,234940.0
Full service restaurants,9109,9073,9926,9778,10371,10150,10402,10484,9792,10399,9664,10284,119432.0
Limited service eating places,8612,8328,9430,9550,10357,9923,10241,10270,9494,10076,9358,9869,115508.0
