Kind of Business,Jan 1993,Feb 1993,Mar 1993,Apr 1993,May 1993,Jun 1993,Jul 1993,Aug 1993,Sep 1993,Oct 1993,Nov 1993,Dec 1993,Total
"Retail and food services sales, total",153221,150087,170439,176456,182231,181535,183682,183318,177406,182737,187443,224540,2153095.0
Retail sales and food services excl motor vehicle and parts,121021,117300,131181,135401,140841,138540,140704,141612,137132,142450,148461,185536,1680179.0
Retail sales and food services excl gasoline stations,140694,138027,157276,163079,168142,167536,169235,169197,164030,168776,173923,210804,1990719.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,108494,105240,118018,122024,126752,124541,126257,127491,123756,128489,134941,171800,1517803.0
"Retail sales, total",137020,134462,153025,158615,163519,162964,164590,163989,159298,163992,169980,206174,1937628.0
"Retail sales, total (excl. motor vehicle and parts dealers)",104820,101675,113767,117560,122129,119969,121612,122283,119024,123705,130998,167170,1464712.0
GAFO(1),36694,35872,41191,43631,45350,44410,44915,47477,45182,47654,55243,83163,570782.0
Motor vehicle and parts dealers,32200,32787,39258,41055,41390,42995,42978,41706,40274,40287,38982,39004,472916.0
Automobile and other motor vehicle dealers,29054,29613,35641,37254,37595,39040,38923,37643,36378,36354,35206,35405,428106.0
Automobile dealers,27823,28364,33803,35150,35095,36890,36647,35804,34668,34873,33932,34077,407126.0
New car dealers,25801,26165,31277,32586,32786,34497,34162,33517,32501,32534,31679,32017,379522.0
Used car dealers,2022,2199,2526,2564,2309,2393,2485,2287,2167,2339,2253,2060,27604.0
"Automotive parts, acc., and tire stores",3146,3174,3617,3801,3795,3955,4055,4063,3896,3933,3776,3599,44810.0
"Furniture, home furn, electronics, and appliance stores",8209,7643,8528,8346,8558,8902,9129,9139,9014,9235,10311,13574,110588.0
Furniture and home furnishings stores,4104,3908,4369,4372,4535,4568,4682,4733,4621,4775,5158,5631,55456.0
Furniture stores,2553,2447,2713,2646,2766,2744,2807,2775,2751,2822,3027,3248,33299.0
Home furnishings stores,1551,1461,1656,1726,1769,1824,1875,1958,1870,1953,2131,2383,22157.0
Floor covering stores,828,805,916,967,933,976,974,1011,1013,1042,1005,990,11460.0
All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Electronics and appliance stores,4105,3735,4159,3974,4023,4334,4447,4406,4393,4460,5153,7943,55132.0
Household appliance stores,641,593,669,701,727,803,920,817,741,773,804,948,9137.0
Electronics stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Building mat. and garden equip. and supplies dealers,8947,9208,11073,12374,13296,13209,12523,12470,12149,12220,11872,11623,140964.0
Building mat. and supplies dealers,7746,7932,9408,10146,10769,11083,10813,10905,10578,10711,10388,9947,120426.0
Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Hardware stores,879,805,983,1092,1285,1205,1181,1098,1073,1107,1094,1198,13000.0
Food and beverage stores,30039,28126,30455,30820,31891,31352,33029,31215,30622,31223,30803,34941,374516.0
Grocery stores,27571,25748,27911,28112,29096,28576,30067,28470,28022,28532,28081,31132,341318.0
Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
"Beer, wine, and liquor stores",1614,1529,1678,1713,1796,1792,1950,1777,1707,1757,1782,2443,21538.0
Health and personal care stores,7172,7138,7719,7721,7681,7642,7671,7540,7399,7549,7527,9835,92594.0
Pharmacies and drug stores,6163,6198,6643,6654,6595,6519,6539,6415,6311,6480,6535,8655,79707.0
Gasoline stations,12527,12060,13163,13377,14089,13999,14447,14121,13376,13961,13520,13736,162376.0
Clothing and clothing access. stores,7502,7524,8766,9867,10063,9635,9794,10628,10013,10346,11760,18851,124749.0
Clothing stores,5439,5284,6349,7112,7128,6725,6905,7386,7093,7535,8499,12672,88127.0
Men's clothing stores,695,618,706,796,809,792,722,729,748,836,913,1598,9962.0
Women's clothing stores,2123,2005,2442,2762,2873,2552,2539,2626,2622,2713,2923,4170,32350.0
Family clothing stores,1943,1992,2414,2686,2650,2616,2772,3051,2813,3084,3705,5571,35297.0
Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Shoe stores,1173,1161,1439,1670,1615,1564,1544,1895,1659,1523,1608,2177,19028.0
