Kind of Business,Jan 1993,Feb 1993,Mar 1993,Apr 1993,May 1993,Jun 1993,Jul 1993,Aug 1993,Sep 1993,Oct 1993,Nov 1993,Dec 1993,Total
Jewelry stores,795,992,895,997,1235,1259,1267,1260,1180,1203,1549,3797,16429.0
"Sporting goods, hobby, musical instrument, and book stores",3254,2735,3211,3374,3315,3424,3440,3880,3611,3496,4260,7573,45573.0
Sporting goods stores,1032,984,1213,1367,1387,1457,1457,1531,1313,1199,1377,2474,16791.0
"Hobby, toy, and game stores",598,576,683,735,685,722,745,682,671,799,1480,3275,11651.0
Book stores,998,568,602,583,612,618,607,983,903,669,692,1273,9108.0
General merchandise stores,16097,16319,19066,20271,21562,20562,20679,21834,20631,22628,26702,39645,265996.0
Department stores,11164,11300,13411,14245,15110,14345,14348,15461,14478,15971,19064,28788,187685.0
Department stores(excl. discount department stores),4985,5121,6296,6433,6690,6323,6237,7140,6633,7232,9041,14194,86325.0
Discount dept. stores,6179,6179,7115,7812,8420,8022,8111,8321,7845,8739,10023,14594,101360.0
Other general merchandise stores,4933,5019,5655,6026,6452,6217,6331,6373,6153,6657,7638,10857,78311.0
Warehouse clubs and superstores,2878,2885,3260,3454,3772,3667,3742,3792,3699,4081,4726,6672,46628.0
All other gen. merchandise stores,2055,2134,2395,2572,2680,2550,2589,2581,2454,2576,2912,4185,31683.0
Miscellaneous store retailers,4350,4302,4305,4804,5177,5340,5087,5255,5110,5261,5092,7462,61545.0
"Office supplies, stationery, and gift stores",1632,1651,1620,1773,1852,1887,1873,1996,1913,1949,2210,3520,23876.0
Office supplies and stationery stores,875,825,832,813,846,894,883,1004,981,961,1038,1175,11127.0
"Gift, novelty, and souvenir stores",757,826,788,960,1006,993,990,992,932,988,1172,2345,12749.0
Used merchandise stores,403,431,414,415,443,710,527,617,500,543,487,646,6136.0
Nonstore retailers,6723,6620,7481,6606,6497,5904,5813,6201,7099,7786,9151,9930,85811.0
Electronic shopping and mail-order houses,3057,2739,3299,2962,2791,2667,2621,2895,3280,3869,4955,5542,40677.0
Fuel dealers,1893,1885,1901,1300,1099,1058,1018,1105,1203,1436,1658,2010,17566.0
Food services and drinking places,16201,15625,17414,17841,18712,18571,19092,19329,18108,18745,17463,18366,215467.0
Drinking places,959,920,1019,1056,1057,1017,1096,1052,971,1033,978,983,12141.0
Restaurants and other eating places,13975,13460,15017,15351,16070,15993,16469,16699,15622,16150,15051,15862,185719.0
Full service restaurants,6830,6675,7297,7486,7868,7783,8019,8292,7699,8015,7418,7740,91122.0
Limited service eating places,7145,6785,7720,7865,8202,8210,8450,8407,7923,8135,7633,8122,94597.0
