Kind of Business,Jan 2004,Feb 2004,Mar 2004,Apr 2004,May 2004,Jun 2004,Jul 2004,Aug 2004,Sep 2004,Oct 2004,Nov 2004,Dec 2004,Total
Electronics and appliance stores,7626,7409,7662,7059,7483,7749,7828,8210,7723,7713,9437,14114,100013
Household appliance stores,1158,1147,1277,1203,1290,1341,1312,1299,1250,1278,1412,1641,15608
Electronics stores,6468,6262,6385,5856,6193,6408,6516,6911,6473,6435,8025,12473,84405
Building mat. and garden equip. and supplies dealers,18081,17862,24942,28261,28431,28623,26162,25578,25136,24833,24035,23330,295274
Building mat. and supplies dealers,16526,16258,21879,23351,23595,24738,23341,23253,22852,22415,21872,21120,261200
Paint and wallpaper stores,569,582,757,780,807,865,837,829,758,755,695,646,8880
Hardware stores,1197,1138,1421,1636,1801,1736,1689,1571,1535,1496,1489,1591,18300
Food and beverage stores,39978,37184,39604,39857,41918,40447,42512,40617,40270,41050,41018,45925,490380
Grocery stores,36475,33701,35892,35876,37733,36362,38170,36607,36360,37004,36876,40080,441136
Supermarkets and other grocery (except convenience) stores,34761,32066,34081,34064,35785,34405,36142,34629,34442,35064,35117,38249,418805
"Beer, wine, and liquor stores",2293,2219,2398,2553,2685,2643,2867,2622,2618,2727,2763,3801,32189
Health and personal care stores,16336,15649,17170,16542,16528,16388,16306,16377,15986,16421,16460,19127,199290
Pharmacies and drug stores,14065,13341,14506,14034,14025,13877,13747,13783,13632,14055,14017,16149,169231
Gasoline stations,22773,22554,25602,26207,28578,28403,29286,28729,27351,29544,27676,27303,324006
Clothing and clothing access. stores,11790,13344,14760,15058,15379,14237,14667,15588,14224,15570,17230,28406,190253
Clothing stores,8682,9133,10893,10974,10998,10396,10796,11380,10579,11695,12823,18940,137289
Men's clothing stores,574,559,637,674,675,657,639,720,634,727,809,1261,8566
Women's clothing stores,2267,2402,2915,3023,3005,2777,2595,2644,2774,2990,3090,4472,34954
Family clothing stores,4271,4594,5614,5612,5679,5325,5840,6126,5494,6230,7116,10543,72444
Other clothing stores,762,737,780,742,777,824,790,870,761,787,817,1336,9983
Shoe stores,1526,1737,1977,2127,2007,1824,1950,2280,1796,1902,1870,2689,23685
Jewelry stores,1463,2346,1766,1829,2230,1887,1792,1800,1732,1852,2409,6517,27623
"Sporting goods, hobby, musical instrument, and book stores",5856,4874,5406,5169,5297,5602,5677,6706,5757,5418,6637,10768,73167
Sporting goods stores,1901,1888,2287,2221,2305,2514,2530,2621,2216,2103,2306,3748,28640
"Hobby, toy, and game stores",962,1045,1125,1082,974,1024,1086,1016,1051,1311,2187,3451,16314
Book stores,2146,1108,1073,1023,1113,1207,1172,2120,1561,1069,1089,2200,16881
General merchandise stores,34374,35920,38278,38899,41341,38949,39651,40239,37587,41192,46366,64586,497382
Department stores,14053,15157,16440,16697,17467,16282,16454,17203,15985,17446,20724,31783,215691
Department stores(excl. discount department stores),5120,5893,6406,6369,6694,6188,6049,6512,6335,6643,8280,13977,84466
Discount dept. stores,8933,9264,10034,10328,10773,10094,10405,10691,9650,10803,12444,17806,131225
Other general merchandise stores,20321,20763,21838,22202,23874,22667,23197,23036,21602,23746,25642,32803,281691
Warehouse clubs and superstores,17664,17884,18664,19000,20590,19567,20099,20016,18671,20533,21999,27643,242330
All other gen. merchandise stores,2657,2879,3174,3202,3284,3100,3098,3020,2931,3213,3643,5160,39361
Miscellaneous store retailers,8001,7805,8164,8281,9099,8495,8407,8750,8392,8592,9005,11186,104177
"Office supplies, stationery, and gift stores",3151,3135,2986,2917,2983,2947,3014,3455,3209,3196,3370,4956,39319
Office supplies and stationery stores,2066,1829,1823,1615,1593,1572,1592,2079,1934,1673,1709,2200,21685
"Gift, novelty, and souvenir stores",1085,1306,1163,1302,1390,1375,1422,1376,1275,1523,1661,2756,17634
Used merchandise stores,734,704,753,702,752,753,778,748,797,832,838,880,9271
Nonstore retailers,19206,18245,19195,17749,16596,16973,16647,18079,18527,19672,21599,26489,228977
Electronic shopping and mail-order houses,11989,11260,12621,12030,11706,11840,11655,12540,12412,13030,14604,18470,154157
Fuel dealers,4053,3459,2661,2092,1661,1667,1680,1904,2008,2498,2892,3770,30345
Food services and drinking places,28642,28755,31133,30866,32155,31380,33125,32184,30550,32258,29981,32528,373557
Drinking places,1444,1412,1501,1450,1498,1451,1530,1498,1458,1520,1402,1441,17605
Restaurants and other eating places,24839,24952,27054,26738,27839,27258,28982,28076,26179,27517,25829,28321,323584
Full service restaurants,13022,12997,13786,13404,14130,13764,14680,14264,13386,14054,13133,14479,165099
Limited service eating places,11817,11955,13268,13334,13709,13494,14302,13812,12793,13463,12696,13842,158485
