Kind of Business,Jan 2004,Feb 2004,Mar 2004,Apr 2004,May 2004,Jun 2004,Jul 2004,Aug 2004,Sep 2004,Oct 2004,Nov 2004,Dec 2004,Total
"Retail and food services sales, total",281460,282444,319077,315191,328408,321044,328000,326317,313524,319726,324259,387155,3846605
Retail sales and food services excl motor vehicle and parts,220314,217214,240415,241939,250917,245689,249163,249940,239944,250981,259038,314679,2980233
Retail sales and food services excl gasoline stations,258687,259890,293475,288984,299830,292641,298714,297588,286173,290182,296583,359852,3522599
Retail sales and food services excl motor vehicle and parts and gasoline stations,197541,194660,214813,215732,222339,217286,219877,221211,212593,221437,231362,287376,2656227
"Retail sales, total",252818,253689,287944,284325,296253,289664,294875,294133,282974,287468,294278,354627,3473048
"Retail sales, total (excl. motor vehicle and parts dealers)",191672,188459,209282,211073,218762,214309,216038,217756,209394,218723,229057,282151,2606676
GAFO(1),70448,72295,77591,77093,80595,77927,79732,83081,76941,81807,92634,133747,1003891
Motor vehicle and parts dealers,61146,65230,78662,73252,77491,75355,78837,76377,73580,68745,65221,72476,866372
Automobile and other motor vehicle dealers,56235,60208,72817,67574,71922,69485,72936,70514,68038,63129,59803,66928,799589
Automobile dealers,52917,56122,66693,61142,65214,62812,66631,65194,63519,58913,56199,62718,738074
New car dealers,47864,50584,60638,55578,59332,57264,60858,59246,57973,53128,50718,57370,670553
Used car dealers,5053,5538,6055,5564,5882,5548,5773,5948,5546,5785,5481,5348,67521
"Automotive parts, acc., and tire stores",4911,5022,5845,5678,5569,5870,5901,5863,5542,5616,5418,5548,66783
"Furniture, home furn, electronics, and appliance stores",15277,15022,16161,15050,15595,16192,16723,17093,16164,16431,19031,25031,203770
Furniture and home furnishings stores,7651,7613,8499,7991,8112,8443,8895,8883,8441,8718,9594,10917,103757
Furniture stores,4365,4335,4638,4307,4458,4573,4846,4786,4525,4683,5012,5321,55849
Home furnishings stores,3286,3278,3861,3684,3654,3870,4049,4097,3916,4035,4582,5596,47908
Floor covering stores,1439,1523,1814,1749,1646,1785,1825,1832,1851,1860,1828,1755,20907
All other home furnishings stores,1747,1657,1931,1820,1893,1960,2105,2149,1956,2051,2623,3687,25579
