Kind of Business,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Total
Grocery stores,58722,55870,73901,64383,68436,63973,66892,64500,62100,64017,63920,67027,773741.0
Supermarkets and other grocery (except convenience) stores,56141,53306,71296,62127,65735,61229,63980,61571,59353,61259,61341,64236,741574.0
"Beer, wine, and liquor stores",4188,4318,5249,4938,5950,5780,6106,5813,5582,5766,5796,7366,66852.0
Health and personal care stores,28987,27756,30888,25724,26251,28279,29573,28918,29462,30630,28575,33670,348713.0
Pharmacies and drug stores,24440,23183,26974,23910,23648,24655,25460,24757,25237,26435,24294,27862,300855.0
Gasoline stations,39696,36963,34261,26810,32045,36314,38876,38730,37231,38161,34394,36635,430116.0
Clothing and clothing access. stores,16873,19232,10969,2744,8787,16442,17779,18968,18790,20088,21287,32237,204196.0
Clothing stores,12287,13439,7584,1736,5504,11080,12098,12933,12912,14165,15038,19983,138759.0
Men's clothing stores,599,615,302,86,155,303,405,379,401,(S),(S),604,
Women's clothing stores,2402,2662,1493,469,1099,2027,2373,2386,2494,2634,2726,3399,26164.0
Family clothing stores,6899,7535,4259,688,3089,6955,7077,7768,7561,8520,8976,12137,81464.0
Other clothing stores,1225,1344,788,248,569,946,1156,1158,1150,1171,1331,1685,12771.0
Shoe stores,2148,2701,1686,462,1624,2692,2722,2822,2643,2677,2617,3824,28618.0
Jewelry stores,2141,2751,1505,511,1557,2452,2679,2877,2882,2872,3245,7824,33296.0
"Sporting goods, hobby, musical instrument, and book stores",5867,5632,5287,3484,6353,8390,8011,8218,7794,7657,8368,11319,86380.0
Sporting goods stores,2984,3107,3452,2599,4378,5887,5435,5163,4803,4684,4620,6799,53911.0
"Hobby, toy, and game stores",1174,1200,862,360,1120,1420,1409,1508,1582,1674,2412,2617,17338.0
Book stores,990,593,406,169,275,388,437,770,620,455,496,900,6499.0
General merchandise stores,53203,54596,63624,54576,63381,60501,61674,62304,58567,63203,66964,77086,739679.0
Department stores,8479,9067,8158,5941,8768,9047,9384,9879,9182,9733,11235,14624,113497.0
Department stores(excl. discount department stores),2146,2473,1305,11,1049,1524,1591,1739,1786,1913,2357,3492,21386.0
Discount dept. stores,6333,6594,6853,5930,7719,7523,7793,8140,7396,7820,8878,11132,92111.0
Other general merchandise stores,44724,45529,55466,48635,54613,51454,52290,52425,49385,53470,55729,62462,626182.0
Warehouse clubs and superstores,38811,39451,47739,41322,46287,43615,44706,45080,42093,45714,47744,53210,535772.0
All other gen. merchandise stores,5913,6078,7727,7313,8326,7839,7584,7345,7292,7756,7985,9252,90410.0
Miscellaneous store retailers,10394,10302,9580,7319,9812,11544,11992,11842,11604,12400,11988,13939,132716.0
"Office supplies, stationery, and gift stores",2037,1953,1646,816,1220,1640,2020,2210,2153,2601,1860,2616,22772.0
Office supplies and stationery stores,963,816,868,605,707,780,869,1105,968,800,724,912,10117.0
"Gift, novelty, and souvenir stores",1074,1137,778,211,513,860,1151,1105,1185,1801,1136,1704,12655.0
Used merchandise stores,1501,1551,1028,420,882,1246,1300,1491,1357,1607,1537,1465,15385.0
Nonstore retailers,62245,58864,66414,73022,78134,76015,79072,77168,75540,81386,91542,105157,924559.0
Electronic shopping and mail-order houses,53485,50716,58622,67339,72558,69954,72123,70505,68425,73023,83769,96203,836722.0
Fuel dealers,4240,3565,3016,2069,1741,1577,1603,1630,1885,2262,2563,3723,29874.0
Food services and drinking places,61567,62956,47740,30017,42321,51473,54511,56358,54740,57392,50911,51497,621483.0
Drinking places,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
Restaurants and other eating places,54131,54911,42238,27674,39803,48350,51178,52457,50423,52829,46984,47987,568965.0
Full service restaurants,27018,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
Limited service eating places,27113,27062,24159,20001,26498,28789,30214,30013,28743,29950,27249,28640,328431.0
