Kind of Business,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Total
"Retail and food services sales, total",480301,478467,478267,407227,504607,532678,549416,545307,530987,553114,543273,611429,6215073.0
Retail sales and food services excl motor vehicle and parts,386934,380639,395880,337693,397245,418450,433183,429379,417929,438435,440053,494937,4970757.0
Retail sales and food services excl gasoline stations,440605,441504,444006,380417,472562,496364,510540,506577,493756,514953,508879,574794,5784957.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,347238,343676,361619,310883,365200,382136,394307,390649,380698,400274,405659,458302,4540641.0
"Retail sales, total",418734,415511,430527,377210,462286,481205,494905,488949,476247,495722,492362,559932,5593590.0
"Retail sales, total (excl. motor vehicle and parts dealers)",325367,317683,348140,307676,354924,366977,378672,373021,363189,381043,389142,443440,4349274.0
GAFO(1),94549,97552,95501,68637,91042,102574,106664,109556,104834,111528,117962,144871,1245270.0
Motor vehicle and parts dealers,93367,97828,82387,69534,107362,114228,116233,115928,113058,114679,103220,116492,1244316.0
Automobile and other motor vehicle dealers,85832,90586,74904,62554,98852,104941,107082,106956,104451,105948,95304,108612,1146022.0
Automobile dealers,81214,85140,68937,56635,88480,93559,97104,98206,96980,98478,89223,101956,1055912.0
New car dealers,72074,74360,59487,50131,77773,81593,84691,86015,85909,87522,79269,92388,931212.0
Used car dealers,9140,10780,9450,6504,10707,11966,12413,12191,11071,10956,9954,9568,124700.0
"Automotive parts, acc., and tire stores",7535,7242,7483,6980,8510,9287,9151,8972,8607,8731,7916,7880,98294.0
"Furniture, home furn, electronics, and appliance stores",16569,16139,13975,7017,11301,15601,17180,17856,17530,17979,19483,21613,192243.0
Furniture and home furnishings stores,9490,9452,8159,3977,7349,9993,10625,11017,11071,11114,11187,12129,115563.0
Furniture stores,5148,5287,4499,2004,4259,5730,5957,5847,6112,6053,5894,6153,62943.0
Home furnishings stores,4342,4165,3660,1973,3090,4263,4668,5170,4959,(S),(S),(S),
Floor covering stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
All other home furnishings stores,2422,2211,1525,403,1276,2102,2440,2647,2506,(S),(S),(S),
Electronics and appliance stores,7079,6687,5816,3040,3952,5608,6555,6839,6459,6865,8296,9484,76680.0
Household appliance stores,1230,1234,1283,1128,1441,1681,1731,1747,1665,1722,1705,1763,18330.0
Electronics stores,5849,5453,4533,1912,2511,3927,4824,5092,4794,5143,6591,7721,58350.0
Building mat. and garden equip. and supplies dealers,26966,26237,32152,35916,42422,42092,39430,36664,36930,37582,34662,34524,425577.0
Building mat. and supplies dealers,23709,23025,27984,30023,35986,36397,34870,32612,32647,33018,30633,30123,371027.0
Paint and wallpaper stores,928,920,1085,947,1092,1240,1271,1216,1225,1208,1012,945,13089.0
Hardware stores,2059,1954,2372,2839,3495,3350,3028,2891,2760,2763,2553,2795,32859.0
Food and beverage stores,64567,61962,80990,71064,76438,71799,75085,72353,69741,71957,71879,77260,865095.0
