Kind of Business,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Total
"Retail and food services sales, total",401911,415093,460910,451121,470116,464721,462004,471690,448516,453155,467232,539667,5506136
Retail sales and food services excl motor vehicle and parts,321013,324880,359702,353383,371156,366135,362111,367377,352800,360140,376891,438631,4354219
Retail sales and food services excl gasoline stations,370863,386106,427324,415844,431308,424659,422252,432935,410592,414177,431420,502513,5069993
Retail sales and food services excl motor vehicle and parts and gasoline stations,289965,295893,326116,318106,332348,326073,322359,328622,314876,321162,341079,401477,3918076
"Retail sales, total",351890,363622,405050,394766,413047,410045,405935,416449,394147,397337,413872,482053,4848213
"Retail sales, total (excl. motor vehicle and parts dealers)",270992,273409,303842,297028,314087,311459,306042,312136,298431,304322,323531,381017,3696296
GAFO(1),89674,94702,104199,98659,103979,102162,102899,107380,98485,101847,114768,148877,1267631
Motor vehicle and parts dealers,80898,90213,101208,97738,98960,98586,99893,104313,95716,93015,90341,101036,1151917
Automobile and other motor vehicle dealers,73975,82909,93030,90067,91172,90426,92147,96100,88025,85223,82873,93364,1059311
Automobile dealers,70393,78320,86386,83117,84037,83087,85623,89924,82567,80503,78752,89247,991956
New car dealers,62569,67800,76194,73798,75336,73973,76669,80417,73954,71517,70724,80614,883565
Used car dealers,7824,10520,10192,9319,8701,9114,8954,9507,8613,8986,8028,8633,108391
"Automotive parts, acc., and tire stores",6923,7304,8178,7671,7788,8160,7746,8213,7691,7792,7468,7672,92606
"Furniture, home furn, electronics, and appliance stores",15555,15986,16967,15464,16342,16618,16726,17560,17082,16231,19282,22420,206233
Furniture and home furnishings stores,8297,8507,9402,8734,9139,9252,9313,9706,9667,9175,10079,10989,112260
Furniture stores,4599,4818,5197,4716,4997,5029,5028,5135,5292,4903,5281,5299,60294
Home furnishings stores,3698,3689,4205,4018,4142,4223,4285,4571,4375,4272,4798,5690,51966
Floor covering stores,1457,1503,1780,1727,1751,1882,1803,1936,1864,1795,1725,1685,20908
