Kind of Business,Jan 2016,Feb 2016,Mar 2016,Apr 2016,May 2016,Jun 2016,Jul 2016,Aug 2016,Sep 2016,Oct 2016,Nov 2016,Dec 2016,Total
All other home furnishings stores,2130,2075,2283,2141,2268,2212,2348,2513,2366,2340,2947,3884,29507
Electronics and appliance stores,7258,7479,7565,6730,7203,7366,7413,7854,7415,7056,9203,11431,93973
Household appliance stores,1246,1348,1411,1334,1462,1544,1499,1506,1517,1395,1645,1631,17538
Electronics stores,6012,6131,6154,5396,5741,5822,5914,6348,5898,5661,7558,9800,76435
Building mat. and garden equip. and supplies dealers,21408,22538,29101,31497,33652,33120,29112,28866,27778,27464,27433,25818,337787
Building mat. and supplies dealers,19154,20032,24796,26164,28033,28214,25917,25904,24875,24509,24629,22759,294986
Paint and wallpaper stores,677,755,931,944,983,1091,1000,1066,1000,946,847,753,10993
Hardware stores,1746,1757,2123,2159,2268,2211,2067,2097,1943,2051,1917,2100,24439
Food and beverage stores,56931,54145,58086,56266,59242,58521,59851,58627,57448,58744,59198,65103,702162
Grocery stores,51810,48747,52254,50543,53053,52332,53382,52474,51405,52655,52772,56444,627871
Supermarkets and other grocery (except convenience) stores,49846,46788,50065,48356,50698,49936,50825,50021,49106,50393,50625,54287,600946
"Beer, wine, and liquor stores",3488,3642,3907,3966,4242,4307,4572,4307,4260,4261,4488,5812,51252
Health and personal care stores,25538,26171,27682,26302,26802,26623,25749,27014,26229,25678,25775,29608,319171
Pharmacies and drug stores,21680,21895,23016,22120,22536,22135,21595,22392,21619,21493,21241,23791,265513
Gasoline stations,31048,28987,33586,35277,38808,40062,39752,38755,37924,38978,35812,37154,436143
Clothing and clothing access. stores,15753,19011,21555,20493,21752,20251,20759,22479,19904,20626,23800,34824,261207
Clothing stores,11629,13188,15945,15042,15763,15067,15367,16179,14855,15527,17763,24003,190328
Men's clothing stores,604,672,767,792,839,783,686,729,747,759,805,1098,9281
Women's clothing stores,2413,2865,3565,3429,3513,3156,3058,3298,3083,3182,3612,4577,39751
Family clothing stores,6055,6842,8448,7971,8458,8181,8666,8796,8049,8666,9732,13365,103229
Other clothing stores,1265,1367,1483,1378,1341,1424,1345,1575,1404,1320,1713,2264,17879
Shoe stores,2163,2945,3238,2915,2952,2779,3073,3898,2790,2750,3084,4316,36903
Jewelry stores,1769,2637,2129,2276,2768,2189,2088,2181,2042,2123,2705,6050,30957
"Sporting goods, hobby, musical instrument, and book stores",6427,5844,6923,6499,6695,7214,6913,7792,6733,6291,7594,11441,86366
Sporting goods stores,3104,3235,4075,3792,3939,4631,4314,4302,3587,3395,3870,5837,48081
"Hobby, toy, and game stores",1191,1221,1374,1250,1243,1188,1239,1239,1315,1428,2234,3432,18354
Book stores,1424,687,681,671,741,677,652,1496,1037,688,718,1244,10716
General merchandise stores,49678,51619,56375,53822,56662,55680,55976,56578,52143,55817,61665,76698,682713
Department stores,10199,11074,12568,11647,12238,12296,11850,12735,11409,11934,14892,21358,154200
Department stores(excl. discount department stores),3162,3727,4289,4076,4228,4085,3851,3920,3902,3921,5214,8536,52911
Discount dept. stores,7037,7347,8279,7571,8010,8211,7999,8815,7507,8013,9678,12822,101289
Other general merchandise stores,39479,40545,43807,42175,44424,43384,44126,43843,40734,43883,46773,55340,528513
Warehouse clubs and superstores,34531,35117,37820,36557,38385,37433,38312,38096,35077,37969,40424,47471,457192
All other gen. merchandise stores,4948,5428,5987,5618,6039,5951,5814,5747,5657,5914,6349,7869,71321
Miscellaneous store retailers,8335,8665,9714,9789,10937,10451,10055,10404,10184,10572,10078,11485,120669
"Office supplies, stationery, and gift stores",2261,2242,2379,2381,2528,2399,2525,2971,2623,2882,2427,3494,31112
Office supplies and stationery stores,1215,1104,1136,1065,1026,949,991,1493,1207,996,972,1129,13283
"Gift, novelty, and souvenir stores",1046,1138,1243,1316,1502,1450,1534,1478,1416,1886,1455,2365,17829
Used merchandise stores,1173,1207,1307,1318,1323,1279,1365,1413,1390,1506,1432,1394,16107
Nonstore retailers,40319,40443,43853,41619,43195,42919,41149,44061,43006,43921,52894,66466,543845
Electronic shopping and mail-order houses,33172,33394,37066,35531,37026,36914,35762,38405,37147,37651,46353,58607,467028
Fuel dealers,3560,3342,2566,1973,1707,1493,1366,1502,1661,2126,2505,3709,27510
Food services and drinking places,50021,51471,55860,56355,57069,54676,56069,55241,54369,55818,53360,57614,657923
Drinking places,1876,1871,2039,2002,2043,1905,2060,1999,2059,2137,1968,2089,24048
Restaurants and other eating places,44091,45163,49144,48965,49724,47923,49428,48527,46274,47877,46172,50206,573494
Full service restaurants,22883,23401,24876,24833,24915,23574,24313,23732,22801,23766,22844,25997,287935
Limited service eating places,21208,21762,24268,24132,24809,24349,25115,24795,23473,24111,23328,24209,285559
