Kind of Business,Jan 2007,Feb 2007,Mar 2007,Apr 2007,May 2007,Jun 2007,Jul 2007,Aug 2007,Sep 2007,Oct 2007,Nov 2007,Dec 2007,Total
Hardware stores,1451,1380,1710,1777,2092,1965,1726,1735,1589,1667,1678,1739,20509
Food and beverage stores,43498,41044,45254,43562,47042,46140,46416,46670,44719,45553,46809,51130,547837
Grocery stores,39649,37150,40815,39244,42207,41279,41619,41896,40191,40924,41910,44476,491360
Supermarkets and other grocery (except convenience) stores,37883,35480,38930,37337,40144,39257,39563,39847,38278,39006,40058,42581,468364
"Beer, wine, and liquor stores",2569,2603,3005,2867,3262,3364,3322,3292,3057,3087,3297,4403,38128
Health and personal care stores,19598,18431,20224,19259,20181,19542,19375,20154,18864,20208,19639,21689,237164
Pharmacies and drug stores,16985,15822,17258,16532,17279,16497,16542,16992,15966,17264,16713,18434,202284
Gasoline stations,30922,29762,35603,36677,41378,40481,40696,40387,37675,39425,39802,39014,451822
Clothing and clothing access. stores,13927,15077,18045,17096,18474,17289,16883,18850,16765,17614,20550,30635,221205
Clothing stores,10335,10531,13563,12757,13423,12806,12537,13737,12564,13209,15317,20843,161622
Men's clothing stores,625,600,679,731,740,718,629,636,656,717,804,1237,8772
Women's clothing stores,2639,2694,3499,3531,3760,3412,2770,3205,3177,3306,3598,4703,40294
Family clothing stores,5175,5289,7126,6501,6885,6629,6744,7471,6434,6883,8288,11167,84592
Other clothing stores,919,883,907,814,852,858,1104,913,913,982,1098,1760,12003
Shoe stores,1777,1888,2327,2245,2213,2094,2139,2777,2030,2080,2258,2983,26811
Jewelry stores,1699,2521,1999,1954,2678,2226,2052,2178,2025,2175,2792,6521,30820
"Sporting goods, hobby, musical instrument, and book stores",6223,5052,6189,5637,6227,6555,6333,7750,6351,5973,7384,11235,80909
Sporting goods stores,2200,2171,2969,2737,3087,3380,3165,3378,2712,2570,2939,4496,35804
"Hobby, toy, and game stores",948,974,1188,1064,1050,1096,1102,1084,1102,1275,2208,3253,16344
Book stores,2220,1039,1027,930,1134,1161,1220,2327,1578,1129,1227,2179,17171
General merchandise stores,40930,40959,46408,45014,47879,47122,45847,48371,43958,46285,54310,71499,578582
Department stores,14119,14441,16534,16091,16924,16307,15653,17283,15254,16354,20878,29554,209392
Department stores(excl. discount department stores),4890,5305,5941,5965,6222,5820,5458,6155,5626,5929,7754,11822,76887
Discount dept. stores,9229,9136,10593,10126,10702,10487,10195,11128,9628,10425,13124,17732,132505
Other general merchandise stores,26811,26518,29874,28923,30955,30815,30194,31088,28704,29931,33432,41945,369190
Warehouse clubs and superstores,23826,23432,26305,25435,27163,27231,26736,27534,25356,26270,29236,36439,324963
All other gen. merchandise stores,2985,3086,3569,3488,3792,3584,3458,3554,3348,3661,4196,5506,44227
Miscellaneous store retailers,8713,8496,9416,8850,10624,10325,9597,10151,9442,9828,9703,11273,116418
"Office supplies, stationery, and gift stores",3273,3119,3307,2978,3289,3138,3229,3883,3311,3522,3563,4633,41245
Office supplies and stationery stores,2173,1900,1985,1709,1746,1669,1784,2421,1948,1845,1880,2144,23204
"Gift, novelty, and souvenir stores",1100,1219,1322,1269,1543,1469,1445,1462,1363,1677,1683,2489,18041
Used merchandise stores,804,873,1037,828,927,885,836,895,885,1007,944,1009,10930
Nonstore retailers,25438,24352,25727,23529,24347,23146,23423,24888,23498,26932,29497,33990,308767
Electronic shopping and mail-order houses,17540,16118,18040,16927,18053,17211,17617,18523,17206,19574,21583,25289,223681
Fuel dealers,4268,4657,3566,2777,2268,1978,1989,2207,2338,2988,3719,4681,37436
Food services and drinking places,33593,33097,38225,36554,38311,38450,38539,38825,36791,37608,35954,38604,444551
Drinking places,1520,1475,1754,1605,1701,1701,1830,1713,1668,1664,1623,1634,19888
Restaurants and other eating places,29110,28557,32966,31229,32930,33151,33196,33725,30911,31744,30691,33296,381506
Full service restaurants,15272,15043,17176,16159,16816,16860,16720,17025,15599,15926,15555,17354,195505
Limited service eating places,13838,13514,15790,15070,16114,16291,16476,16700,15312,15818,15136,15942,186001
