Kind of Business,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Total
Men's clothing stores,613,668,739,814,848,762,705,762,742,799,810,1137,9399
Women's clothing stores,2486,2734,3470,3396,3671,3169,3130,3326,3085,3401,3593,4778,40239
Family clothing stores,5997,6492,8110,7999,8600,7812,8459,8766,7725,8555,9811,12582,100908
Other clothing stores,1273,1289,1459,1348,1366,1408,1361,1523,1286,1316,1421,1947,16997
Shoe stores,2108,2655,3008,2822,2960,2607,2957,3758,2685,2779,2919,4151,35409
Jewelry stores,1886,2611,2126,2291,2841,2339,2218,2248,2031,2160,2575,6035,31361
"Sporting goods, hobby, musical instrument, and book stores",6256,5427,6531,6239,6639,6732,6790,7916,6866,6438,7610,12110,85554
Sporting goods stores,2869,2863,3733,3615,3876,4150,4154,4386,3697,3468,3878,6213,46902
"Hobby, toy, and game stores",1127,1157,1320,1222,1232,1154,1189,1196,1281,1431,2168,3573,18050
Book stores,1487,686,656,651,750,683,692,1546,1063,718,724,1318,10974
General merchandise stores,49843,49471,55122,52865,57963,54675,55412,57313,52193,56241,62188,76852,680138
Department stores,10843,11265,13222,12379,13732,12619,12625,13740,12099,13033,16423,23094,165074
Department stores(excl. discount department stores),3410,3839,4422,4451,4879,4184,4049,4343,4184,4408,5973,9157,57299
Discount dept. stores,7433,7426,8800,7928,8853,8435,8576,9397,7915,8625,10450,13937,107775
Other general merchandise stores,39000,38206,41900,40486,44231,42056,42787,43573,40094,43208,45765,53758,515064
Warehouse clubs and superstores,34246,33229,36342,35096,38377,36489,37224,38087,34736,37413,39737,46086,447062
All other gen. merchandise stores,4754,4977,5558,5390,5854,5567,5563,5486,5358,5795,6028,7672,68002
Miscellaneous store retailers,8566,8436,9285,9373,10900,10394,10354,10386,9686,10276,9680,11154,118490
"Office supplies, stationery, and gift stores",2458,2311,2381,2434,2530,2415,2625,2990,2670,3101,2472,3584,31971
Office supplies and stationery stores,1414,1206,1179,1146,1087,1039,1140,1557,1289,1124,1048,1255,14484
"Gift, novelty, and souvenir stores",1044,1105,1202,1288,1443,1376,1485,1433,1381,1977,1424,2329,17487
Used merchandise stores,1182,1125,1345,1294,1346,1310,1430,1477,1397,1524,1321,1348,16099
Nonstore retailers,39035,37502,41105,39138,37973,38554,39159,38411,39353,40944,46411,60776,498361
Electronic shopping and mail-order houses,30801,29056,33099,32556,32212,32740,33452,33055,33618,34577,40199,53781,419146
Fuel dealers,4888,5128,4138,2512,1836,1694,1675,1601,1790,2313,2388,2826,32789
Food services and drinking places,48089,46736,53263,52412,55541,52138,53200,53202,50763,54025,50184,54546,624099
Drinking places,1712,1651,1909,1783,1928,1787,1884,1888,1786,1925,1819,1942,22014
Restaurants and other eating places,42259,40795,46833,45609,48625,45981,46940,46759,43524,46418,43635,47925,545303
Full service restaurants,22141,21339,24154,22950,24763,22908,23258,23344,21584,23333,21976,24848,276598
Limited service eating places,20118,19456,22679,22659,23862,23073,23682,23415,21940,23085,21659,23077,268705
