Kind of Business,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Sep 2015,Oct 2015,Nov 2015,Dec 2015,Total
"Retail and food services sales, total",398555,388766,446581,439993,465244,450172,459960,458313,432898,446746,446334,518656,5352218
Retail sales and food services excl motor vehicle and parts,319532,308588,349376,345534,366995,354741,361299,359485,341246,355452,361409,424623,4248280
Retail sales and food services excl gasoline stations,365413,356478,408972,402048,422991,407293,415960,416260,395206,408608,412260,484982,4896471
Retail sales and food services excl motor vehicle and parts and gasoline stations,286390,276300,311767,307589,324742,311862,317299,317432,303554,317314,327335,390949,3792533
"Retail sales, total",350466,342030,393318,387581,409703,398034,406760,405111,382135,392721,396150,464110,4728119
"Retail sales, total (excl. motor vehicle and parts dealers)",271443,261852,296113,293122,311454,302603,308099,306283,290483,301427,311225,370077,3624181
GAFO(1),90414,90578,101430,97465,105988,100182,102602,107975,98028,103560,114934,149506,1262662
Motor vehicle and parts dealers,79023,80178,97205,94459,98249,95431,98661,98828,91652,91294,84925,94033,1103938
Automobile and other motor vehicle dealers,72372,73422,89461,86739,90562,87343,90443,90964,84039,83332,77576,86764,1013017
Automobile dealers,68972,69540,83389,80246,83686,80548,84213,85299,78873,78547,73861,82337,949511
New car dealers,61368,60223,73806,71017,74882,71952,75574,76687,70953,70410,66478,75068,848418
Used car dealers,7604,9317,9583,9229,8804,8596,8639,8612,7920,8137,7383,7269,101093
"Automotive parts, acc., and tire stores",6651,6756,7744,7720,7687,8088,8218,7864,7613,7962,7349,7269,90921
"Furniture, home furn, electronics, and appliance stores",16017,15290,16577,15457,16617,16602,17104,17332,17066,17030,19542,23439,208073
Furniture and home furnishings stores,8028,7583,8698,8349,8993,8680,9227,9268,9090,9235,9610,11055,107816
Furniture stores,4493,4328,4844,4457,4974,4739,4922,5070,5138,4996,5051,5279,58291
Home furnishings stores,3535,3255,3854,3892,4019,3941,4305,4198,3952,4239,4559,5776,49525
Floor covering stores,1391,1311,1538,1655,1647,1664,1787,1742,1660,1799,1600,1693,19487
All other home furnishings stores,2034,1832,2181,2112,2247,2156,2402,2342,2176,2321,2844,3966,28613
Electronics and appliance stores,7989,7707,7879,7108,7624,7922,7877,8064,7976,7795,9932,12384,100257
Household appliance stores,1277,1255,1422,1343,1522,1533,1545,1438,1470,1403,1556,1610,17374
Electronics stores,6712,6452,6457,5765,6102,6389,6332,6626,6506,6392,8376,10774,82883
Building mat. and garden equip. and supplies dealers,20708,19470,25912,30742,32454,30852,29841,27107,26870,27667,26075,26232,323930
Building mat. and supplies dealers,18481,17308,22543,25266,26543,26244,26289,24078,23954,24370,23102,22993,281171
Paint and wallpaper stores,684,668,858,923,944,1046,1044,992,977,948,766,730,10580
Hardware stores,1735,1664,1969,2133,2245,2118,2054,2016,1861,2061,1888,1955,23699
Food and beverage stores,56749,52155,56741,55703,59296,56827,59294,57957,55775,57692,57099,62185,687473
Grocery stores,51643,47164,51221,50112,53188,50889,53017,51991,50083,51795,51135,53848,616086
Supermarkets and other grocery (except convenience) stores,49782,45356,49167,48012,50870,48597,50611,49709,47930,49666,49139,51876,590715
"Beer, wine, and liquor stores",3486,3397,3761,3768,4222,4104,4409,4140,3955,4145,4135,5634,49156
Health and personal care stores,25287,23734,26412,25190,25120,25330,25474,25384,25749,26251,25424,30134,309489
Pharmacies and drug stores,21360,19742,21974,21160,21061,21078,21349,21105,21574,22163,21196,24690,258452
Gasoline stations,33142,32288,37609,37945,42253,42879,44000,42053,37692,38138,34074,33674,455747
Clothing and clothing access. stores,15840,18079,20819,20470,22239,19758,20671,22424,19233,20750,23122,33521,256926
Clothing stores,11638,12627,15495,15134,16199,14618,15277,16214,14316,15600,17402,22861,187381
