Kind of Business,Jan 1999,Feb 1999,Mar 1999,Apr 1999,May 1999,Jun 1999,Jul 1999,Aug 1999,Sep 1999,Oct 1999,Nov 1999,Dec 1999,Total
"Retail and food services sales, total",218126,220650,253550,250783,262113,260918,262051,265089,253905,258040,264106,317659,3086990.0
Retail sales and food services excl motor vehicle and parts,165591,163598,185818,185914,194291,191552,193716,195625,189333,195657,204250,257441,2322786.0
Retail sales and food services excl gasoline stations,203011,206380,237252,233582,244205,242995,242931,245811,235346,239073,245874,298006,2874466.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,150476,149328,169520,168713,176383,173629,174596,176347,170774,176690,186018,237788,2110262.0
"Retail sales, total",196810,199451,230230,227109,237462,236830,236992,240478,230665,233193,240857,293013,2803090.0
"Retail sales, total (excl. motor vehicle and parts dealers)",144275,142399,162498,162240,169640,167464,168657,171014,166093,170810,181001,232795,2038886.0
GAFO(1),54153,54729,62946,61662,65302,64293,64020,67768,64037,66533,76342,113880,815665.0
Motor vehicle and parts dealers,52535,57052,67732,64869,67822,69366,68335,69464,64572,62383,59856,60218,764204.0
Automobile and other motor vehicle dealers,48047,52525,62492,59528,62574,63824,62813,63954,59134,56986,54569,55109,701555.0
Automobile dealers,46157,49827,58761,55504,58227,59612,58918,60447,56079,53895,51987,52406,661820.0
New car dealers,42042,45230,53840,50680,53277,54565,54023,55555,51570,49379,47695,48311,606167.0
Used car dealers,4115,4597,4921,4824,4950,5047,4895,4892,4509,4516,4292,4095,55653.0
"Automotive parts, acc., and tire stores",4488,4527,5240,5341,5248,5542,5522,5510,5438,5397,5287,5109,62649.0
"Furniture, home furn, electronics, and appliance stores",12558,12261,13614,12784,13256,13658,14014,14375,14008,14117,15878,21134,171657.0
Furniture and home furnishings stores,5922,5996,6790,6481,6684,6853,6961,7240,7139,7339,8006,8883,84294.0
Furniture stores,3590,3552,3941,3607,3796,3818,3893,3962,3976,4036,4303,4548,47022.0
Home furnishings stores,2332,2444,2849,2874,2888,3035,3068,3278,3163,3303,3703,4335,37272.0
Floor covering stores,1182,1288,1534,1592,1463,1599,1594,1657,1649,1674,1642,1535,18409.0
All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Electronics and appliance stores,6636,6265,6824,6303,6572,6805,7053,7135,6869,6778,7872,12251,87363.0
Household appliance stores,842,814,943,926,950,1105,1200,1019,989,997,1051,1246,12082.0
Electronics stores,5794,5451,5881,5377,5622,5700,5853,6116,5880,5781,6821,11005,75281.0
Building mat. and garden equip. and supplies dealers,13949,14508,17711,19541,20560,20511,19363,19000,18459,18709,18190,17789,218290.0
Building mat. and supplies dealers,12020,12508,15156,16239,16717,17403,16977,16878,16299,16470,16032,15217,187916.0
Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Hardware stores,1100,1003,1206,1411,1492,1444,1386,1297,1283,1293,1291,1380,15586.0
Food and beverage stores,34300,32175,35502,35121,37055,35791,37981,36105,35734,36164,35833,41938,433699.0
Grocery stores,31516,29413,32451,31948,33727,32568,34568,32944,32624,32935,32510,37046,394250.0
