Kind of Business,Jan 1999,Feb 1999,Mar 1999,Apr 1999,May 1999,Jun 1999,Jul 1999,Aug 1999,Sep 1999,Oct 1999,Nov 1999,Dec 1999,Total
Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
"Beer, wine, and liquor stores",1866,1808,1986,2099,2210,2145,2339,2140,2126,2219,2273,3265,26476.0
Health and personal care stores,11015,10820,11954,11596,11823,11766,11679,11647,11429,11839,12013,15118,142699.0
Pharmacies and drug stores,9406,9246,10168,9881,10054,9972,9874,9834,9721,10087,10155,12884,121282.0
Gasoline stations,15115,14270,16298,17201,17908,17923,19120,19278,18559,18967,18232,19653,212524.0
Clothing and clothing access. stores,9237,10171,12081,12386,13167,12280,12461,13734,12357,12948,14643,24286,159751.0
Clothing stores,6559,6871,8673,8903,9171,8624,8817,9712,8917,9427,10528,15479,111681.0
Men's clothing stores,684,610,708,812,803,791,723,789,714,802,896,1335,9667.0
Women's clothing stores,1745,1883,2507,2616,2687,2405,2303,2407,2353,2440,2564,3639,29549.0
Family clothing stores,3062,3253,4101,4152,4375,4182,4476,4926,4389,4724,5528,8150,55318.0
Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Shoe stores,1420,1543,1897,1913,2006,1908,1934,2283,1788,1741,1782,2475,22690.0
Jewelry stores,1155,1650,1392,1457,1863,1623,1585,1606,1520,1641,2165,6034,23691.0
"Sporting goods, hobby, musical instrument, and book stores",4661,4133,4804,4654,4779,5088,4884,5396,5062,4852,5896,9863,64072.0
Sporting goods stores,1485,1469,1827,1888,1993,2215,2062,2143,1847,1711,1832,3227,23699.0
"Hobby, toy, and game stores",933,966,1135,1076,1061,1101,1083,1101,1111,1277,2096,3711,16651.0
Book stores,1514,990,976,933,976,1031,1023,1386,1240,1019,1088,1996,14172.0
General merchandise stores,24585,25109,29278,28895,31201,30329,29811,30955,29382,31357,36231,53046,380179.0
Department stores,14480,15239,17851,17704,18935,17955,17549,18510,17383,18513,22213,33972,230304.0
Department stores(excl. discount department stores),5647,6197,7401,7290,7746,7178,7012,7697,7300,7749,9560,15875,96652.0
Discount dept. stores,8833,9042,10450,10414,11189,10777,10537,10813,10083,10764,12653,18097,133652.0
Other general merchandise stores,10105,9870,11427,11191,12266,12374,12262,12445,11999,12844,14018,19074,149875.0
Warehouse clubs and superstores,8081,7758,8990,8799,9708,9839,9768,9944,9585,10214,11120,15003,118809.0
All other gen. merchandise stores,2024,2112,2437,2392,2558,2535,2494,2501,2414,2630,2898,4071,31066.0
Miscellaneous store retailers,7392,7934,8380,8227,8509,8544,8240,8606,8420,8426,9190,12350,104218.0
"Office supplies, stationery, and gift stores",3112,3055,3169,2943,2899,2938,2850,3308,3228,3259,3694,5551,40006.0
Office supplies and stationery stores,2018,1812,1815,1649,1571,1611,1517,1966,1965,1772,1796,2108,21600.0
"Gift, novelty, and souvenir stores",1094,1243,1354,1294,1328,1327,1333,1342,1263,1487,1898,3443,18406.0
Used merchandise stores,639,783,782,731,724,759,749,784,722,848,804,1052,9377.0
Nonstore retailers,11463,11018,12876,11835,11382,11574,11104,11918,12683,13431,14895,17618,151797.0
Electronic shopping and mail-order houses,6491,6391,7595,7128,6925,7222,6964,7514,8033,8552,9604,11863,94282.0
Fuel dealers,2256,1798,2011,1495,1303,1222,1186,1275,1420,1682,1821,2443,19912.0
Food services and drinking places,21316,21199,23320,23674,24651,24088,25059,24611,23240,24847,23249,24646,283900.0
Drinking places,1102,1140,1291,1247,1207,1196,1256,1205,1177,1263,1185,1261,14530.0
Restaurants and other eating places,18497,18325,20112,20462,21272,20725,21695,21274,19977,21373,19960,21089,244761.0
Full service restaurants,9535,9467,10334,10520,10740,10503,11031,10888,10250,11004,10182,10654,125108.0
Limited service eating places,8962,8858,9778,9942,10532,10222,10664,10386,9727,10369,9778,10435,119653.0
