Kind of Business,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Total
Gasoline stations,36439,35514,42065,44270,47387,44876,46392,45949,42751,44348,41424,40962,512377.0
Clothing and clothing access. stores,16155,17961,22059,21500,23079,21116,21742,23829,19567,21400,25170,35157,268735.0
Clothing stores,11955,12514,16212,15820,16829,15728,15971,17028,14374,16070,18992,24357,195850.0
Men's clothing stores,630,591,733,846,852,740,669,714,725,777,830,1003,9110.0
Women's clothing stores,2400,2571,3430,3438,3636,3116,3104,3169,2923,3226,3664,4274,38951.0
Family clothing stores,6606,6905,9058,8747,9381,9009,9246,10034,8193,9347,11232,14433,112191.0
Other clothing stores,1179,1212,1458,1285,1395,1496,1472,1496,1225,1287,1577,2296,17378.0
Shoe stores,2187,2722,3383,3043,3018,2796,3093,3988,2594,2721,3038,4044,36627.0
Jewelry stores,1788,2484,2197,2378,2898,2291,2405,2519,2330,2353,2809,6188,32640.0
"Sporting goods, hobby, musical instrument, and book stores",5658,5249,6353,6253,6522,6671,6636,7608,6325,6435,7382,9665,80757.0
Sporting goods stores,2784,2876,3700,3678,3826,4165,4133,4368,3403,3526,3825,5337,45621.0
"Hobby, toy, and game stores",1131,1088,1265,1159,1235,1169,1178,1269,1254,1407,2064,2305,16524.0
Book stores,1029,585,603,650,696,613,591,1124,871,650,640,1074,9126.0
General merchandise stores,51708,50626,58788,56991,60909,58979,58759,61777,54785,58872,66356,77926,716476.0
Department stores,8681,9108,10615,10422,11267,10605,10610,11542,9732,10441,13360,18276,134659.0
Department stores(excl. discount department stores),2367,2641,3080,3098,3287,3014,2940,3054,2858,2921,4135,6153,39548.0
Discount dept. stores,6314,6467,7535,7324,7980,7591,7670,8488,6874,7520,9225,12123,95111.0
Other general merchandise stores,43027,41518,48173,46569,49642,48374,48149,50235,45053,48431,52996,59650,581817.0
Warehouse clubs and superstores,37147,35759,41608,39923,42586,41710,41581,43575,38806,41653,45788,51201,501337.0
All other gen. merchandise stores,5880,5759,6565,6646,7056,6664,6568,6660,6247,6778,7208,8449,80480.0
Miscellaneous store retailers,9141,8938,10028,10492,12343,11183,11234,11689,10711,11933,11641,12227,131560.0
"Office supplies, stationery, and gift stores",2039,1940,2154,2166,2497,2359,2595,2782,2324,2846,2270,2950,28922.0
Office supplies and stationery stores,1014,833,889,848,828,751,891,1260,893,831,770,911,10719.0
"Gift, novelty, and souvenir stores",1025,1107,1265,1318,1669,1608,1704,1522,1431,2015,1500,2039,18203.0
Used merchandise stores,1366,1342,1526,1583,1446,1415,1456,1632,1557,1842,1624,1511,18300.0
Nonstore retailers,58403,54156,58091,59140,63232,58740,62532,62064,58886,65195,71509,89716,761664.0
Electronic shopping and mail-order houses,49099,45894,49797,51785,55752,51981,55604,54963,51913,57196,63340,80543,667867.0
Fuel dealers,4656,3987,3738,2612,2193,1785,1857,1954,2041,2666,3371,4110,34970.0
Food services and drinking places,57077,57307,66690,63999,68306,66674,66613,68469,63520,65759,63127,66004,773545.0
Drinking places,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
Restaurants and other eating places,50245,50014,58242,55676,59735,58908,59300,59998,54572,56410,54745,57953,675798.0
Full service restaurants,24924,24992,28567,27052,29627,29112,29069,29623,26720,27595,27221,29811,334313.0
Limited service eating places,25321,25022,29675,28624,30108,29796,30231,30375,27852,28815,27524,28142,341485.0
