Kind of Business,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Total
"Retail and food services sales, total",456538,442274,513845,506920,544203,515269,528710,541951,493076,522195,532130,587471,6184582.0
Retail sales and food services excl motor vehicle and parts,368649,352651,403490,403550,432418,410619,419527,427360,393464,418339,430888,483860,4944815.0
Retail sales and food services excl gasoline stations,420099,406760,471780,462650,496816,470393,482318,496002,450325,477847,490706,546509,5672205.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,332210,317137,361425,359280,385031,365743,373135,381411,350713,373991,389464,442898,4432438.0
"Retail sales, total",399461,384967,447155,442921,475897,448595,462097,473482,429556,456436,469003,521467,5411037.0
"Retail sales, total (excl. motor vehicle and parts dealers)",311572,295344,336800,339551,364112,343945,352914,358891,329944,352580,367761,417856,4171270.0
GAFO(1),91540,90967,106564,102978,110415,105867,107090,114131,100240,106921,121457,147773,1305943.0
Motor vehicle and parts dealers,87889,89623,110355,103370,111785,104650,109183,114591,99612,103856,101242,103611,1239767.0
Automobile and other motor vehicle dealers,80625,82469,101927,95090,103213,96499,100703,105884,91758,95219,93303,96137,1142827.0
Automobile dealers,76147,77461,94814,87537,94742,88523,93041,98738,85985,89711,88406,91579,1066684.0
New car dealers,67012,67456,82564,76907,83937,78207,82550,88148,76300,79728,78776,82739,944324.0
Used car dealers,9135,10005,12250,10630,10805,10316,10491,10590,9685,9983,9630,8840,122360.0
"Automotive parts, acc., and tire stores",7264,7154,8428,8280,8572,8151,8480,8707,7854,8637,7939,7474,96940.0
"Furniture, home furn, electronics, and appliance stores",15980,15191,17210,16068,17408,16742,17358,18135,17239,17368,20279,22075,211053.0
Furniture and home furnishings stores,8818,8629,10018,9579,10296,9759,10188,10616,10116,10272,11037,11189,120517.0
Furniture stores,4628,4616,5503,5065,5566,5335,5496,5705,5631,5432,5793,5438,64208.0
Home furnishings stores,4190,4013,4515,4514,4730,4424,4692,4911,4485,4840,5244,5751,56309.0
Floor covering stores,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
All other home furnishings stores,2246,2088,2353,2300,2480,2200,2454,2577,2305,2506,3083,3746,30338.0
Electronics and appliance stores,7162,6562,7192,6489,7112,6983,7170,7519,7123,7096,9242,10886,90536.0
Household appliance stores,1198,1177,1334,1310,1471,1398,1523,1467,1357,1409,1500,1423,16567.0
Electronics stores,5964,5385,5858,5179,5641,5585,5647,6052,5766,5687,7742,9463,73969.0
Building mat. and garden equip. and supplies dealers,26620,24039,29916,34033,37235,33517,33691,32375,29963,32629,29793,28621,372432.0
Building mat. and supplies dealers,23425,21061,25871,29233,32196,29265,29938,28915,26662,28697,26220,24990,326473.0
Paint and wallpaper stores,912,860,1029,982,1192,1174,1248,1257,1149,1162,940,829,12734.0
Hardware stores,2083,1910,2340,2517,2821,2579,2524,2525,2317,2549,2335,2337,28837.0
Food and beverage stores,62829,56898,63504,62402,66510,64479,66428,66937,62420,64849,66363,70028,773647.0
Grocery stores,57184,51284,57216,56053,59656,57791,59460,59954,56083,58172,59224,60938,693015.0
Supermarkets and other grocery (except convenience) stores,54876,49031,54609,53382,56715,54902,56476,56957,53251,55304,56499,58214,660216.0
"Beer, wine, and liquor stores",3933,3916,4445,4358,4861,4769,4993,5017,4454,4676,5057,6326,56805.0
Health and personal care stores,28639,26772,28786,28402,29487,27642,28142,28528,27297,29551,27844,31479,342569.0
Pharmacies and drug stores,24194,22372,23599,23766,24612,22692,23437,23562,22515,24856,22815,25195,283615.0
