Kind of Business,Jan 1995,Feb 1995,Mar 1995,Apr 1995,May 1995,Jun 1995,Jul 1995,Aug 1995,Sep 1995,Oct 1995,Nov 1995,Dec 1995,Total
Hardware stores,872,845,1057,1154,1339,1336,1226,1177,1148,1137,1189,1238,13718.0
Food and beverage stores,31039,29132,32361,31792,33178,33060,33520,33279,32177,31830,32508,36510,390386.0
Grocery stores,28629,26762,29708,29086,30388,30229,30654,30434,29378,29068,29619,32454,356409.0
Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
"Beer, wine, and liquor stores",1555,1501,1725,1699,1807,1863,1886,1861,1845,1788,1879,2598,22007.0
Health and personal care stores,7999,7739,8462,8230,8668,8482,8170,8471,8163,8387,8430,10434,101635.0
Pharmacies and drug stores,6829,6614,7135,6954,7274,7034,6793,7035,6859,7083,7208,9022,85840.0
Gasoline stations,13871,13212,14757,14630,15945,16207,16057,16217,15194,15157,14681,15185,181113.0
Clothing and clothing access. stores,7518,7961,9815,10168,10620,10301,9784,11264,10710,10439,12751,20002,131333.0
Clothing stores,5331,5472,6944,7079,7190,7087,6805,7727,7558,7425,8988,13102,90708.0
Men's clothing stores,661,607,674,726,721,740,642,697,722,756,903,1466,9315.0
Women's clothing stores,1723,1810,2393,2438,2535,2357,2172,2326,2370,2312,2567,3693,28696.0
Family clothing stores,2194,2266,2901,2959,2958,3061,3006,3488,3320,3290,4292,6264,39999.0
Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Shoe stores,1179,1187,1655,1809,1757,1749,1654,2045,1735,1561,1771,2239,20341.0
Jewelry stores,908,1213,1128,1195,1590,1377,1250,1382,1315,1360,1854,4435,19007.0
"Sporting goods, hobby, musical instrument, and book stores",3908,3271,3908,3845,3951,4129,3893,4649,4294,3955,4904,8326,53033.0
Sporting goods stores,1224,1248,1599,1606,1645,1750,1705,1846,1569,1398,1548,2731,19869.0
"Hobby, toy, and game stores",683,665,823,867,821,873,851,846,846,993,1830,3616,13714.0
Book stores,1308,718,695,688,785,808,782,1248,1102,746,850,1466,11196.0
General merchandise stores,18537,18598,22516,23023,24133,24241,23517,24916,23499,24447,30216,42855,300498.0
Department stores,12260,12603,15448,15729,16337,16399,15922,17050,15981,16574,21138,30479,205920.0
Department stores(excl. discount department stores),5112,5362,6667,6569,6827,6734,6663,7435,6977,7128,9490,14336,89300.0
Discount dept. stores,7148,7241,8781,9160,9510,9665,9259,9615,9004,9446,11648,16143,116620.0
Other general merchandise stores,6277,5995,7068,7294,7796,7842,7595,7866,7518,7873,9078,12376,94578.0
Warehouse clubs and superstores,4317,4118,4856,5000,5344,5393,5274,5435,5216,5459,6287,8402,65101.0
All other gen. merchandise stores,1960,1877,2212,2294,2452,2449,2321,2431,2302,2414,2791,3974,29477.0
Miscellaneous store retailers,5016,5411,5687,5773,6790,6558,6230,6891,6307,6207,6367,8740,75977.0
"Office supplies, stationery, and gift stores",1989,2112,2007,1978,2316,2222,2234,2592,2394,2407,2730,4346,29327.0
Office supplies and stationery stores,1287,1175,1162,1021,1195,1163,1120,1456,1322,1225,1261,1437,14824.0
"Gift, novelty, and souvenir stores",702,937,845,957,1121,1059,1114,1136,1072,1182,1469,2909,14503.0
Used merchandise stores,451,494,489,486,556,580,554,641,560,523,557,726,6617.0
Nonstore retailers,8346,7991,8768,7564,7876,7411,6841,7922,8240,9412,10979,12166,103516.0
Electronic shopping and mail-order houses,3939,3341,4121,3650,3943,3710,3568,4080,4357,5021,6113,6837,52680.0
Fuel dealers,2152,2185,1877,1441,1398,1211,1121,1257,1316,1478,1880,2504,19820.0
Food services and drinking places,17340,16982,19369,19404,20209,20235,20502,20878,19601,19768,18785,19939,233012.0
Drinking places,910,912,1025,1017,1044,1032,1060,1077,1098,1086,1070,1121,12452.0
Restaurants and other eating places,15133,14794,16852,16810,17513,17477,17859,18150,16929,17035,16239,17259,202050.0
Full service restaurants,7475,7311,8211,8235,8581,8514,8867,9000,8238,8295,7956,8349,99032.0
Limited service eating places,7658,7483,8641,8575,8932,8963,8992,9150,8691,8740,8283,8910,103018.0
