Kind of Business,Jan 1995,Feb 1995,Mar 1995,Apr 1995,May 1995,Jun 1995,Jul 1995,Aug 1995,Sep 1995,Oct 1995,Nov 1995,Dec 1995,Total
"Retail and food services sales, total",175344,172138,201279,196039,210478,211844,203411,214248,202122,204044,212190,247491,2450628.0
Retail sales and food services excl motor vehicle and parts,134789,130679,149748,148170,157703,156922,153443,160769,153295,155556,166150,203689,1870913.0
Retail sales and food services excl gasoline stations,161473,158926,186522,181409,194533,195637,187354,198031,186928,188887,197509,232306,2269515.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,120918,117467,134991,133540,141758,140715,137386,144552,138101,140399,151469,188504,1689800.0
"Retail sales, total",158004,155156,181910,176635,190269,191609,182909,193370,182521,184276,193405,227552,2217616.0
"Retail sales, total (excl. motor vehicle and parts dealers)",117449,113697,130379,128766,137494,136687,132941,139891,133694,135788,147365,183750,1637901.0
GAFO(1),42081,41357,48904,48848,51653,51777,50183,54920,52057,52586,63530,92144,650040.0
Motor vehicle and parts dealers,40555,41459,51531,47869,52775,54922,49968,53479,48827,48488,46040,43802,579715.0
Automobile and other motor vehicle dealers,36800,37825,47198,43638,48264,50296,45544,48616,44470,43925,41534,39702,527812.0
Automobile dealers,35487,36245,44670,41130,45489,47260,43032,46037,42201,41908,40133,38092,501684.0
New car dealers,32778,33412,41374,38132,42309,43957,39540,42592,38978,38834,37202,35534,464642.0
Used car dealers,2709,2833,3296,2998,3180,3303,3492,3445,3223,3074,2931,2558,37042.0
"Automotive parts, acc., and tire stores",3755,3634,4333,4231,4511,4626,4424,4863,4357,4563,4506,4100,51903.0
"Furniture, home furn, electronics, and appliance stores",10129,9415,10658,9834,10633,10884,10755,11499,11160,11338,12929,16615,135849.0
Furniture and home furnishings stores,4649,4410,5084,4818,5195,5196,5190,5506,5418,5505,6090,6409,63470.0
Furniture stores,2856,2663,3052,2813,3024,3046,3022,3178,3191,3175,3417,3540,36977.0
Home furnishings stores,1793,1747,2032,2005,2171,2150,2168,2328,2227,2330,2673,2869,26493.0
Floor covering stores,974,979,1139,1089,1160,1174,1122,1226,1188,1228,1242,1183,13704.0
All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Electronics and appliance stores,5480,5005,5574,5016,5438,5688,5565,5993,5742,5833,6839,10206,72379.0
Household appliance stores,744,667,794,724,823,890,923,896,799,800,893,1027,9980.0
Electronics stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Building mat. and garden equip. and supplies dealers,11086,10967,13447,13907,15700,15414,14174,14783,13950,14616,13600,12917,164561.0
Building mat. and supplies dealers,9734,9496,11445,11416,12980,12995,12125,12894,12234,12767,11864,11078,141028.0
Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
