Kind of Business,Jan 2002,Feb 2002,Mar 2002,Apr 2002,May 2002,Jun 2002,Jul 2002,Aug 2002,Sep 2002,Oct 2002,Nov 2002,Dec 2002,Total
"Retail and food services sales, total",255598,253086,285261,284747,300402,288854,295433,307256,273189,287540,290705,337006,3459077
Retail sales and food services excl motor vehicle and parts,195033,190149,215490,213955,228248,217787,219025,227673,208039,221211,230116,273540,2640266
Retail sales and food services excl gasoline stations,238094,236382,265428,263641,278174,267188,272452,284125,251811,265275,269818,316070,3208458
Retail sales and food services excl motor vehicle and parts and gasoline stations,177529,173445,195657,192849,206020,196121,196044,204542,186661,198946,209229,252604,2389647
"Retail sales, total",230546,228084,257133,257357,271682,260385,266795,277716,246350,259945,263738,308821,3128552
"Retail sales, total (excl. motor vehicle and parts dealers)",169981,165147,187362,186565,199528,189318,190387,198133,181200,193616,203149,245355,2309741
GAFO(1),63242,64043,73116,69137,74799,72042,70434,78050,68301,73606,85664,120273,912707
Motor vehicle and parts dealers,60565,62937,69771,70792,72154,71067,76408,79583,65150,66329,60589,63466,818811
Automobile and other motor vehicle dealers,55799,58319,64656,65420,66622,65644,70738,73817,60031,60823,55631,58689,756189
Automobile dealers,52948,54817,60116,60242,61020,60575,65824,69228,56437,57414,52483,55578,706682
New car dealers,48146,49591,54904,54982,55678,55376,60595,63686,51582,52271,47747,51201,645759
Used car dealers,4802,5226,5212,5260,5342,5199,5229,5542,4855,5143,4736,4377,60923
"Automotive parts, acc., and tire stores",4766,4618,5115,5372,5532,5423,5670,5766,5119,5506,4958,4777,62622
"Furniture, home furn, electronics, and appliance stores",14342,13916,15029,13882,15047,14591,14716,15755,14231,14809,17191,22137,185646
Furniture and home furnishings stores,7149,7091,7777,7370,7991,7502,7671,8205,7456,7859,8839,9528,94438
Furniture stores,4097,4112,4448,4110,4403,4150,4150,4371,4047,4182,4677,4517,51264
Home furnishings stores,3052,2979,3329,3260,3588,3352,3521,3834,3409,3677,4162,5011,43174
Floor covering stores,1409,1420,1576,1608,1684,1586,1606,1738,1592,1671,1627,1508,19025
All other home furnishings stores,1534,1471,1662,1556,1801,1667,1803,1984,1720,1899,2420,3380,22897
Electronics and appliance stores,7193,6825,7252,6512,7056,7089,7045,7550,6775,6950,8352,12609,91208
Household appliance stores,1085,1036,1152,1160,1194,1209,1285,1204,1111,1157,1228,1384,14205
Electronics stores,6108,5789,6100,5352,5862,5880,5760,6346,5664,5793,7124,11225,77003
Building mat. and garden equip. and supplies dealers,16519,15999,19179,24464,25657,23283,22545,21540,20167,21694,19520,17972,248539
Building mat. and supplies dealers,14957,14458,16873,20038,20917,19357,19721,19365,18240,19474,17593,16191,217184
Paint and wallpaper stores,566,553,631,709,760,737,790,788,705,744,597,516,8096
Hardware stores,1154,1094,1292,1534,1685,1600,1555,1467,1322,1403,1398,1458,16962
Food and beverage stores,37662,35215,39485,36629,40390,38715,39773,39918,37068,38461,39501,42039,464856
Grocery stores,34533,32024,35863,33190,36478,34933,35885,36025,33610,34885,35649,36738,419813
Supermarkets and other grocery (except convenience) stores,32836,30391,34034,31360,34485,32932,33849,34044,31689,32973,33812,34867,397272
"Beer, wine, and liquor stores",2114,2109,2366,2300,2569,2486,2568,2595,2297,2401,2601,3488,29894
Health and personal care stores,14467,13995,15040,14865,15395,14424,14884,15060,14432,15298,14934,17189,179983
Pharmacies and drug stores,12471,11952,12802,12627,13143,12303,12644,12784,12393,13143,12901,14773,153936
Gasoline stations,17504,16704,19833,21106,22228,21666,22981,23131,21378,22265,20887,20936,250619
Clothing and clothing access. stores,10344,11730,13977,13195,14150,13210,12873,15113,12445,14006,15911,25350,172304
Clothing stores,7468,7971,10178,9517,9882,9530,9338,10804,9139,10461,11703,16843,122834
Men's clothing stores,540,534,657,632,665,650,592,695,604,669,761,1113,8112
Women's clothing stores,1987,2159,2779,2680,2755,2478,2260,2538,2373,2531,2740,3966,31246
Family clothing stores,3594,3849,5054,4725,4980,4952,5033,5841,4700,5638,6529,9394,64289
Other clothing stores,677,653,749,673,700,710,640,673,624,728,751,1188,8766
Shoe stores,1463,1655,2073,1943,2026,1899,1869,2440,1694,1778,1880,2481,23201
Jewelry stores,1294,1989,1600,1614,2105,1655,1542,1733,1492,1651,2193,5770,24638
"Sporting goods, hobby, musical instrument, and book stores",5394,4483,5214,4958,5215,5194,5150,6184,5419,5173,6697,10131,69212
Sporting goods stores,1739,1763,2167,2157,2141,2276,2177,2384,1998,1897,2133,3387,26219
"Hobby, toy, and game stores",896,966,1186,1014,1078,1065,1103,1087,1048,1347,2468,3651,16909
Book stores,1971,1000,1008,966,1116,1045,1038,1797,1490,997,1059,1950,15437
General merchandise stores,30066,30877,35941,34282,37336,36269,34750,37482,33120,36322,42500,57575,446520
Department stores,14536,15102,17916,17156,18339,17449,16449,18307,15831,17523,21076,31059,220743
Department stores(excl. discount department stores),5314,5701,6940,6539,7030,6540,6080,7020,6186,6815,8650,14042,86857
Discount dept. stores,9222,9401,10976,10617,11309,10909,10369,11287,9645,10708,12426,17017,133886
Other general merchandise stores,15530,15775,18025,17126,18997,18820,18301,19175,17289,18799,21424,26516,225777
Warehouse clubs and superstores,13164,13396,15287,14467,16085,16024,15619,16358,14713,15895,18153,22091,191252
All other gen. merchandise stores,2366,2379,2738,2659,2912,2796,2682,2817,2576,2904,3271,4425,34525
Miscellaneous store retailers,7782,7905,7974,8079,8965,8326,8407,9083,8222,8743,8434,10863,102783
"Office supplies, stationery, and gift stores",3096,3037,2955,2820,3051,2778,2945,3516,3086,3296,3365,5080,39025
Office supplies and stationery stores,2042,1734,1722,1616,1567,1403,1531,2012,1778,1764,1701,2091,20961
"Gift, novelty, and souvenir stores",1054,1303,1233,1204,1484,1375,1414,1504,1308,1532,1664,2989,18064
Used merchandise stores,870,793,812,782,749,765,783,811,742,761,753,879,9500
Nonstore retailers,15901,14323,15690,15105,15145,13640,14308,14867,14718,16845,17574,21163,189279
Electronic shopping and mail-order houses,9912,8925,9670,9684,9713,8969,9478,9845,9678,10738,11412,14190,122214
Fuel dealers,2826,2303,2197,1746,1571,1306,1399,1510,1599,2083,2314,3127,23981
Food services and drinking places,25052,25002,28128,27390,28720,28469,28638,29540,26839,27595,26967,28185,330525
Drinking places,1289,1274,1430,1343,1405,1372,1426,1431,1297,1349,1347,1367,16330
Restaurants and other eating places,21704,21637,24344,23605,24811,24606,24997,25724,22920,23567,23141,24436,285492
Full service restaurants,11462,11355,12630,12076,12790,12620,12810,13294,11694,12084,11964,12758,147537
Limited service eating places,10242,10282,11714,11529,12021,11986,12187,12430,11226,11483,11177,11678,137955
