Kind of Business,Jan 2000,Feb 2000,Mar 2000,Apr 2000,May 2000,Jun 2000,Jul 2000,Aug 2000,Sep 2000,Oct 2000,Nov 2000,Dec 2000,Total
Building mat. and garden equip. and supplies dealers,15381,16170,19956,20044,23003,21690,19639,20171,18751,19482,17816,16891,228994.0
Building mat. and supplies dealers,13314,14047,17061,16665,18953,18499,17261,17919,16546,17228,15650,14506,197649.0
Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Hardware stores,1071,1033,1312,1425,1593,1547,1440,1429,1324,1322,1303,1380,16179.0
Food and beverage stores,34190,33507,36459,36321,37627,37469,38160,37768,36768,36614,37629,42252,444764.0
Grocery stores,31336,30515,33216,33004,34085,33880,34517,34225,33324,33190,33969,37254,402515.0
Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
"Beer, wine, and liquor stores",1920,1976,2190,2132,2357,2413,2463,2422,2358,2352,2549,3375,28507.0
Health and personal care stores,11960,12151,12957,12427,13237,12813,12526,13021,12598,13063,13047,15434,155234.0
Pharmacies and drug stores,10071,10132,10818,10458,11110,10680,10520,10945,10587,11085,11105,13346,130857.0
Gasoline stations,17693,18294,20819,19768,21214,22242,22264,22138,21668,21712,20898,21106,249816.0
Clothing and clothing access. stores,9447,11170,12841,13124,13735,12953,12500,14610,13375,13369,15675,24875,167674.0
Clothing stores,6683,7470,9283,9420,9496,9156,8872,10340,9683,9823,11492,16379,118097.0
Men's clothing stores,635,611,707,759,770,750,719,789,751,787,897,1332,9507.0
Women's clothing stores,1682,1991,2670,2706,2810,2564,2382,2640,2658,2648,2823,3873,31447.0
Family clothing stores,3272,3627,4460,4525,4577,4527,4437,5183,4672,4859,6082,8692,58913.0
Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Shoe stores,1396,1587,1901,2005,1962,1878,1849,2363,1855,1737,1857,2485,22875.0
Jewelry stores,1244,1979,1500,1560,2126,1771,1632,1757,1694,1670,2159,5729,24821.0
"Sporting goods, hobby, musical instrument, and book stores",4698,4527,5122,4937,5239,5345,5174,5892,5533,4934,6126,10065,67592.0
Sporting goods stores,1591,1681,2065,1991,2187,2319,2237,2257,2007,1725,1939,3309,25308.0
"Hobby, toy, and game stores",893,1002,1106,1136,1072,1098,1124,1132,1175,1285,2161,3763,16947.0
Book stores,1505,1090,1031,975,1104,1122,1048,1594,1406,1014,1098,1892,14879.0
General merchandise stores,25958,27165,31168,31170,32968,32516,31535,33283,31125,32672,39623,55045,404228.0
Department stores,14728,15413,17867,18184,18976,18156,17353,18742,17269,18016,23454,34317,232475.0
Department stores(excl. discount department stores),5738,6335,7339,7351,7680,7180,6798,7651,7250,7478,9881,15601,96282.0
Discount dept. stores,8990,9078,10528,10833,11296,10976,10555,11091,10019,10538,13573,18716,136193.0
Other general merchandise stores,11230,11752,13301,12986,13992,14360,14182,14541,13856,14656,16169,20728,171753.0
Warehouse clubs and superstores,9180,9472,10742,10509,11339,11721,11587,11873,11343,11996,13143,16709,139614.0
All other gen. merchandise stores,2050,2280,2559,2477,2653,2639,2595,2668,2513,2660,3026,4019,32139.0
Miscellaneous store retailers,7983,8873,9011,8336,9043,8810,8301,8971,8662,8769,8893,11067,106719.0
"Office supplies, stationery, and gift stores",3247,3346,3402,3109,3170,3073,3005,3540,3360,3430,3668,5303,41653.0
Office supplies and stationery stores,2098,1977,2029,1736,1766,1703,1611,2128,2019,1920,1767,1994,22748.0
"Gift, novelty, and souvenir stores",1149,1369,1373,1373,1404,1370,1394,1412,1341,1510,1901,3309,18905.0
Used merchandise stores,682,872,852,812,818,762,864,850,755,769,812,984,9832.0
Nonstore retailers,13786,14212,15318,13093,13851,13787,12669,14414,14763,16317,17645,20598,180453.0
Electronic shopping and mail-order houses,8087,8074,9425,8409,8692,8865,8229,9297,9442,10324,11388,13558,113790.0
Fuel dealers,2920,2988,2289,1741,1704,1593,1471,1723,1963,2250,2458,3592,26692.0
Food services and drinking places,22713,23493,25798,25366,26125,26222,26701,26457,25531,25732,24362,25761,304261.0
Drinking places,1196,1251,1414,1291,1293,1289,1320,1313,1265,1233,1187,1278,15330.0
Restaurants and other eating places,19529,20158,22082,21836,22364,22510,22983,22724,21790,22051,20967,22104,261098.0
Full service restaurants,10045,10482,11410,11187,11339,11279,11695,11527,11205,11395,10693,11322,133579.0
Limited service eating places,9484,9676,10672,10649,11025,11231,11288,11197,10585,10656,10274,10782,127519.0
