Kind of Business,Jan 2000,Feb 2000,Mar 2000,Apr 2000,May 2000,Jun 2000,Jul 2000,Aug 2000,Sep 2000,Oct 2000,Nov 2000,Dec 2000,Total
"Retail and food services sales, total",236422,250580,279515,264417,283706,281288,271146,283944,269155,270899,276507,319958,3287537.0
Retail sales and food services excl motor vehicle and parts,177649,183688,204448,198431,210656,208286,203886,212094,203320,207094,218058,263717,2491327.0
Retail sales and food services excl gasoline stations,218729,232286,258696,244649,262492,259046,248882,261806,247487,249187,255609,298852,3037721.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,159956,165394,183629,178663,189442,186044,181622,189956,181652,185382,197160,242611,2241511.0
"Retail sales, total",213709,227087,253717,239051,257581,255066,244445,257487,243624,245167,252145,294197,2983276.0
"Retail sales, total (excl. motor vehicle and parts dealers)",154936,160195,178650,173065,184531,182064,177185,185637,177789,181362,193696,237956,2187066.0
GAFO(1),57190,60334,67532,66185,69726,68326,66631,72694,67939,68835,81436,115911,862739.0
Motor vehicle and parts dealers,58773,66892,75067,65986,73050,73002,67260,71850,65835,63805,58449,56241,796210.0
Automobile and other motor vehicle dealers,54082,62015,69456,60834,67449,67296,61915,66022,60378,58515,53412,51397,732771.0
Automobile dealers,51413,58828,64815,56524,62467,62396,57942,62020,56972,55319,50547,48539,687782.0
New car dealers,47032,53501,59381,51683,57481,57235,52953,56931,52112,50745,46458,44611,630123.0
Used car dealers,4381,5327,5434,4841,4986,5161,4989,5089,4860,4574,4089,3928,57659.0
"Automotive parts, acc., and tire stores",4691,4877,5611,5152,5601,5706,5345,5828,5457,5290,5037,4844,63439.0
"Furniture, home furn, electronics, and appliance stores",13840,14126,14999,13845,14614,14439,14417,15369,14546,14430,16344,20623,181592.0
Furniture and home furnishings stores,6638,6989,7622,7134,7635,7487,7508,7974,7535,7667,8346,8635,91170.0
Furniture stores,3897,4072,4363,4032,4256,4175,4205,4340,4201,4157,4485,4434,50617.0
Home furnishings stores,2741,2917,3259,3102,3379,3312,3303,3634,3334,3510,3861,4201,40553.0
Floor covering stores,1370,1451,1709,1563,1719,1721,1606,1802,1650,1768,1710,1450,19519.0
All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Electronics and appliance stores,7202,7137,7377,6711,6979,6952,6909,7395,7011,6763,7998,11988,90422.0
Household appliance stores,926,929,1013,962,1108,1119,1037,1088,1031,1045,1124,1248,12630.0
Electronics stores,6276,6208,6364,5749,5871,5833,5872,6307,5980,5718,6874,10740,77792.0
