Kind of Business,Jan 2003,Feb 2003,Mar 2003,Apr 2003,May 2003,Jun 2003,Jul 2003,Aug 2003,Sep 2003,Oct 2003,Nov 2003,Dec 2003,Total
"Retail and food services sales, total",268328,259051,293693,294251,312389,300998,309923,317056,293890,304036,301265,357577,3612457
Retail sales and food services excl motor vehicle and parts,206194,198030,221829,221855,235659,226376,231445,239394,223768,235903,239588,290828,2770869
Retail sales and food services excl gasoline stations,247124,238199,269821,271422,289096,278197,285929,292091,270490,280391,279319,335191,3337270
Retail sales and food services excl motor vehicle and parts and gasoline stations,184990,177178,197957,199026,212366,203575,207451,214429,200368,212258,217642,268442,2495682
"Retail sales, total",242271,233478,264532,265990,281482,271242,279323,285212,265331,273781,272396,327693,3262731
"Retail sales, total (excl. motor vehicle and parts dealers)",180137,172457,192668,193594,204752,196620,200845,207550,195209,205648,210719,260944,2421143
GAFO(1),65160,64466,71997,71294,76942,73813,74664,82179,72786,77420,88885,126508,946114
Motor vehicle and parts dealers,62134,61021,71864,72396,76730,74622,78478,77662,70122,68133,61677,66749,841588
Automobile and other motor vehicle dealers,57364,56368,66594,66968,71174,69078,72642,71996,64633,62411,56568,61576,777372
Automobile dealers,54379,53150,61877,61336,65092,63414,66899,66850,60369,58079,53065,57750,722260
New car dealers,49170,47673,56000,55764,59506,58090,61433,61356,55297,53065,48537,53314,659205
Used car dealers,5209,5477,5877,5572,5586,5324,5466,5494,5072,5014,4528,4436,63055
"Automotive parts, acc., and tire stores",4770,4653,5270,5428,5556,5544,5836,5666,5489,5722,5109,5173,64216
"Furniture, home furn, electronics, and appliance stores",14212,13265,14511,13728,15036,14829,15295,16235,15230,15728,17835,23682,189586
Furniture and home furnishings stores,7190,6713,7618,7374,8078,7753,8074,8384,8017,8351,9018,10166,96736
Furniture stores,4036,3824,4283,3989,4375,4138,4285,4530,4259,4410,4689,4901,51719
Home furnishings stores,3154,2889,3335,3385,3703,3615,3789,3854,3758,3941,4329,5265,45017
Floor covering stores,1429,1351,1572,1552,1677,1662,1713,1678,1720,1805,1691,1693,19543
All other home furnishings stores,1628,1461,1667,1727,1916,1847,1962,2067,1938,2024,2523,3453,24213
Electronics and appliance stores,7022,6552,6893,6354,6958,7076,7221,7851,7213,7377,8817,13516,92850
Household appliance stores,1079,970,1096,1067,1165,1216,1285,1273,1218,1265,1305,1525,14464
Electronics stores,5943,5582,5797,5287,5793,5860,5936,6578,5995,6112,7512,11991,78386
Building mat. and garden equip. and supplies dealers,17198,15575,20174,24295,25849,25064,24447,22659,22817,23976,20795,20614,263463
Building mat. and supplies dealers,15619,14083,17619,19876,20984,20946,21465,20425,20775,21669,18897,18613,230971
Paint and wallpaper stores,564,535,640,716,769,792,845,798,782,822,626,589,8478
Hardware stores,1185,1110,1338,1492,1747,1670,1622,1544,1492,1507,1443,1524,17674
Food and beverage stores,38602,35581,38721,38478,41032,38969,41076,40670,38396,39828,39767,43265,474385
Grocery stores,35384,32440,35265,34854,37057,35212,37108,36644,34697,35870,35786,37670,427987
Supermarkets and other grocery (except convenience) stores,33618,30796,33438,33102,35203,33364,35141,34704,32872,34025,34097,35914,406274
"Beer, wine, and liquor stores",2121,2046,2273,2333,2576,2433,2611,2660,2461,2641,2660,3654,30469
Health and personal care stores,15534,14773,15849,15736,16170,15504,16004,16002,15718,16516,15708,18912,192426
Pharmacies and drug stores,13519,12801,13616,13545,13959,13262,13659,13607,13591,14260,13531,16174,165524
Gasoline stations,21204,20852,23872,22829,23293,22801,23994,24965,23400,23645,21946,22386,275187
Clothing and clothing access. stores,10804,11662,13452,13691,14730,13496,13854,15522,13567,14601,16555,26760,178694
Clothing stores,7920,7941,9949,9992,10522,9853,10140,11175,10042,10875,12209,17743,128361
Men's clothing stores,539,498,601,631,679,657,602,741,625,704,781,1191,8249
Women's clothing stores,2055,2091,2619,2724,2813,2536,2450,2597,2627,2793,2951,4309,32565
