Kind of Business,Jan 2003,Feb 2003,Mar 2003,Apr 2003,May 2003,Jun 2003,Jul 2003,Aug 2003,Sep 2003,Oct 2003,Nov 2003,Dec 2003,Total
Family clothing stores,3915,3937,5058,5076,5435,5157,5491,5979,5218,5747,6738,9743,67494
Other clothing stores,693,669,760,691,751,733,730,819,690,714,749,1224,9223
Shoe stores,1420,1599,1910,1972,1997,1812,1912,2449,1777,1839,1908,2572,23167
Jewelry stores,1356,2012,1474,1612,2066,1707,1674,1758,1626,1756,2288,6164,25493
"Sporting goods, hobby, musical instrument, and book stores",5516,4377,4964,4995,5231,5323,5291,6714,5627,5216,6504,10601,70359
Sporting goods stores,1761,1747,2121,2135,2182,2325,2293,2548,2075,1970,2200,3643,27000
"Hobby, toy, and game stores",910,940,1111,1139,1088,1064,1094,1087,1095,1286,2223,3545,16582
Book stores,2056,991,925,975,1107,1181,1128,2139,1572,1045,1036,2064,16219
General merchandise stores,31549,32246,36251,36040,38849,37301,37214,40211,35284,38677,44743,60406,468771
Department stores,13970,14357,16371,16375,17570,16639,16385,18182,15669,17319,20818,30815,214470
Department stores(excl. discount department stores),5206,5393,6290,6388,6962,6432,6142,7058,6287,6744,8449,13795,85146
Discount dept. stores,8764,8964,10081,9987,10608,10207,10243,11124,9382,10575,12369,17020,129324
Other general merchandise stores,17579,17889,19880,19665,21279,20662,20829,22029,19615,21358,23925,29591,254301
Warehouse clubs and superstores,15163,15345,17000,16627,18067,17608,17747,18906,16729,18135,20318,24641,216286
All other gen. merchandise stores,2416,2544,2880,3038,3212,3054,3082,3123,2886,3223,3607,4950,38015
Miscellaneous store retailers,7876,7653,7761,7944,8963,8278,8381,8778,8244,8738,8356,10941,101913
"Office supplies, stationery, and gift stores",3079,2916,2819,2840,3096,2864,3010,3497,3078,3198,3248,5059,38704
Office supplies and stationery stores,1994,1719,1683,1586,1596,1470,1621,2034,1855,1697,1616,2146,21017
"Gift, novelty, and souvenir stores",1085,1197,1136,1254,1500,1394,1389,1463,1223,1501,1632,2913,17687
Used merchandise stores,845,741,793,739,746,674,739,747,758,813,819,800,9214
Nonstore retailers,17642,16473,17113,15858,15599,15055,15289,15794,16926,18723,18510,23377,206359
Electronic shopping and mail-order houses,10568,9654,10403,10415,10322,10185,10511,10641,11253,12099,12162,16091,134304
Fuel dealers,3827,3496,2993,2045,1639,1473,1571,1683,1818,2270,2199,3400,28414
Food services and drinking places,26057,25573,29161,28261,30907,29756,30600,31844,28559,30255,28869,29884,349726
Drinking places,1328,1280,1478,1407,1523,1403,1477,1572,1434,1508,1428,1421,17259
Restaurants and other eating places,22599,22103,25193,24445,26711,25877,26690,27552,24320,25781,24780,26062,302113
Full service restaurants,11787,11506,12944,12419,13744,13263,13694,14362,12504,13076,12664,13351,155314
Limited service eating places,10812,10597,12249,12026,12967,12614,12996,13190,11816,12705,12116,12711,146799
