Kind of Business,Jan 1996,Feb 1996,Mar 1996,Apr 1996,May 1996,Jun 1996,Jul 1996,Aug 1996,Sep 1996,Oct 1996,Nov 1996,Dec 1996,Total
"Gift, novelty, and souvenir stores",756,973,900,1002,1204,1115,1261,1293,1102,1224,1581,2886,15297.0
Used merchandise stores,481,481,578,598,744,618,591,611,588,631,630,705,7256.0
Nonstore retailers,9546,9417,9777,9182,8881,8118,8210,8470,9228,11008,12024,13900,117761.0
Electronic shopping and mail-order houses,4549,4226,4703,4566,4563,4250,4442,4586,4875,5816,6676,7854,61106.0
Fuel dealers,2865,2569,2223,1731,1458,1191,1237,1286,1447,1853,2053,2650,22563.0
Food services and drinking places,17647,18439,20259,19832,21139,20669,20971,21792,19826,20736,20332,20603,242245.0
Drinking places,993,1026,1114,1050,1094,1069,1096,1137,1053,1100,1101,1116,12949.0
Restaurants and other eating places,15338,15979,17563,17200,18344,17985,18279,18964,17161,17940,17583,17813,210149.0
Full service restaurants,7503,7911,8650,8469,8941,8682,8944,9513,8642,8998,8972,8888,104113.0
Limited service eating places,7835,8068,8913,8731,9403,9303,9335,9451,8519,8942,8611,8925,106036.0
