Kind of Business,Jan 1996,Feb 1996,Mar 1996,Apr 1996,May 1996,Jun 1996,Jul 1996,Aug 1996,Sep 1996,Oct 1996,Nov 1996,Dec 1996,Total
"Retail and food services sales, total",185019,192380,212110,211718,226936,217511,218111,226062,209250,222663,223953,258081,2603794.0
Retail sales and food services excl motor vehicle and parts,140160,142805,156474,157622,168786,162597,163040,170581,158129,168434,175816,211843,1976287.0
Retail sales and food services excl gasoline stations,170546,178221,196494,195694,209508,200554,201072,208791,193275,205992,207716,241506,2409369.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,125687,128646,140858,141598,151358,145640,146001,153310,142154,151763,159579,195268,1781862.0
"Retail sales, total",167372,173941,191851,191886,205797,196842,197140,204270,189424,201927,203621,237478,2361549.0
"Retail sales, total (excl. motor vehicle and parts dealers)",122513,124366,136215,137790,147647,141928,142069,148789,138303,147698,155484,191240,1734042.0
GAFO(1),43533,45999,51526,51479,55557,53585,52522,58714,53061,56556,65498,94583,682613.0
Motor vehicle and parts dealers,44859,49575,55636,54096,58150,54914,55071,55481,51121,54229,48137,46238,627507.0
Automobile and other motor vehicle dealers,40774,45392,51156,49404,53269,50191,50106,50510,46624,49156,43541,41820,571943.0
Automobile dealers,39261,43538,48844,46624,50252,47187,47404,47531,44473,46980,41746,40109,543949.0
New car dealers,36390,40087,44798,42745,46525,43649,43833,44020,41252,43454,38484,37103,502340.0
Used car dealers,2871,3451,4046,3879,3727,3538,3571,3511,3221,3526,3262,3006,41609.0
"Automotive parts, acc., and tire stores",4085,4183,4480,4692,4881,4723,4965,4971,4497,5073,4596,4418,55564.0
"Furniture, home furn, electronics, and appliance stores",10614,10431,11419,10925,11517,11376,11564,12151,11525,12044,13353,16848,143767.0
Furniture and home furnishings stores,4788,4833,5410,5310,5603,5479,5673,5893,5589,5970,6425,6734,67707.0
Furniture stores,2884,2960,3270,3127,3278,3205,3242,3358,3232,3344,3619,3649,39168.0
Home furnishings stores,1904,1873,2140,2183,2325,2274,2431,2535,2357,2626,2806,3085,28539.0
Floor covering stores,1039,1006,1135,1225,1242,1211,1303,1322,1244,1371,1292,1249,14639.0
All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Electronics and appliance stores,5826,5598,6009,5615,5914,5897,5891,6258,5936,6074,6928,10114,76060.0
Household appliance stores,748,699,784,802,858,853,855,899,817,856,944,1100,10215.0
Electronics stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Building mat. and garden equip. and supplies dealers,11587,11828,13406,15667,16952,16177,16228,15796,14901,16190,14430,13521,176683.0
Building mat. and supplies dealers,10050,10148,11357,12751,13919,13529,13874,13765,12970,14060,12549,11481,150453.0
Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Hardware stores,974,916,1025,1247,1364,1303,1238,1182,1079,1183,1172,1224,13907.0
Food and beverage stores,31733,30778,33060,32158,34382,33452,34426,34841,32214,33524,34045,36460,401073.0
Grocery stores,29172,28191,30245,29344,31364,30470,31377,31747,29495,30674,31014,32454,365547.0
Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
"Beer, wine, and liquor stores",1679,1652,1837,1798,1957,1958,2034,2062,1781,1860,1992,2547,23157.0
Health and personal care stores,8401,8510,8964,8904,9366,8818,9079,9182,8611,9288,9132,11302,109557.0
Pharmacies and drug stores,7134,7190,7510,7425,7755,7264,7484,7629,7208,7811,7699,9701,91810.0
Gasoline stations,14473,14159,15616,16024,17428,16957,17039,17271,15975,16671,16237,16575,194425.0
Clothing and clothing access. stores,7684,8991,10349,10570,11405,10554,10202,12134,10623,11250,12875,19944,136581.0
Clothing stores,5325,6050,7189,7278,7648,7277,7000,8304,7495,8024,9114,13008,93712.0
Men's clothing stores,639,651,708,718,774,759,660,761,744,793,919,1420,9546.0
Women's clothing stores,1565,1834,2193,2346,2552,2375,2072,2353,2276,2413,2594,3665,28238.0
Family clothing stores,2262,2627,3194,3175,3275,3155,3192,3851,3333,3659,4339,6197,42259.0
Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Shoe stores,1245,1414,1757,1857,1889,1764,1738,2228,1676,1657,1778,2232,21235.0
Jewelry stores,1036,1428,1306,1347,1755,1397,1366,1466,1323,1451,1830,4464,20169.0
"Sporting goods, hobby, musical instrument, and book stores",4140,3521,4102,4096,4042,4286,4166,4989,4334,4340,5208,8847,56071.0
Sporting goods stores,1327,1309,1649,1702,1773,1895,1833,1992,1594,1453,1608,2675,20810.0
"Hobby, toy, and game stores",705,737,890,862,669,849,877,874,870,1094,2002,4073,14502.0
Book stores,1373,757,743,750,853,838,786,1359,1040,899,908,1599,11905.0
General merchandise stores,18968,20786,23572,23755,26154,25149,24073,26711,24163,26366,31144,44464,315305.0
Department stores,12299,13768,15808,15957,17454,16655,15768,17932,16092,17462,21389,31619,212203.0
Department stores(excl. discount department stores),4982,5810,6783,6754,7289,6797,6469,7806,7092,7615,9591,15184,92172.0
Discount dept. stores,7317,7958,9025,9203,10165,9858,9299,10126,9000,9847,11798,16435,120031.0
Other general merchandise stores,6669,7018,7764,7798,8700,8494,8305,8779,8071,8904,9755,12845,103102.0
Warehouse clubs and superstores,4758,4915,5432,5474,6125,6027,5913,6244,5808,6371,6993,9019,73079.0
All other gen. merchandise stores,1911,2103,2332,2324,2575,2467,2392,2535,2263,2533,2762,3826,30023.0
Miscellaneous store retailers,5367,5945,5950,6509,7520,7041,7082,7244,6729,7017,7036,9379,82819.0
"Office supplies, stationery, and gift stores",2127,2270,2084,2133,2439,2220,2517,2729,2416,2556,2918,4480,30889.0
Office supplies and stationery stores,1371,1297,1184,1131,1235,1105,1256,1436,1314,1332,1337,1594,15592.0
