Kind of Business,Jan 2005,Feb 2005,Mar 2005,Apr 2005,May 2005,Jun 2005,Jul 2005,Aug 2005,Sep 2005,Oct 2005,Nov 2005,Dec 2005,Total
"Retail and food services sales, total",293261,295062,339141,335632,345348,350945,351827,355701,333289,336134,343798,405608,4085746
Retail sales and food services excl motor vehicle and parts,231325,228117,258532,257963,267021,265567,264117,274481,263877,272540,278953,334946,3197439
Retail sales and food services excl gasoline stations,267695,270080,309761,305083,314197,319083,317939,319497,297029,299577,312538,374344,3706823
Retail sales and food services excl motor vehicle and parts and gasoline stations,205759,203135,229152,227414,235870,233705,230229,238277,227617,235983,247693,303682,2818516
"Retail sales, total",263469,265320,306384,302054,311292,317375,316887,321409,300439,302213,311715,370726,3689283
"Retail sales, total (excl. motor vehicle and parts dealers)",201533,198375,225775,224385,232965,231997,229177,240189,231027,238619,246870,300064,2800976
GAFO(1),72963,74808,82664,81063,84175,84379,83562,88789,81830,86755,98658,139953,1059599
Motor vehicle and parts dealers,61936,66945,80609,77669,78327,85378,87710,81220,69412,63594,64845,70662,888307
Automobile and other motor vehicle dealers,56755,61698,74577,71728,72464,79125,81735,74885,63626,57772,58992,64885,818242
Automobile dealers,53509,57407,68039,64571,65429,71603,75311,68925,58825,53555,55055,60842,753071
New car dealers,47706,50927,61437,58535,59474,65585,69231,62506,53141,47958,49730,55717,681947
Used car dealers,5803,6480,6602,6036,5955,6018,6080,6419,5684,5597,5325,5125,71124
"Automotive parts, acc., and tire stores",5181,5247,6032,5941,5863,6253,5975,6335,5786,5822,5853,5777,70065
"Furniture, home furn, electronics, and appliance stores",15873,15870,17097,15994,16599,17185,17168,18395,17428,17325,20237,26071,215242
Furniture and home furnishings stores,7908,7973,8787,8418,8649,8966,8957,9607,9216,9110,10232,11297,109120
Furniture stores,4444,4570,4852,4610,4648,4816,4875,5180,5043,4922,5312,5473,58745
Home furnishings stores,3464,3403,3935,3808,4001,4150,4082,4427,4173,4188,4920,5824,50375
Floor covering stores,1545,1564,1797,1770,1873,1939,1847,2030,2004,1898,1957,1901,22125
All other home furnishings stores,1804,1728,2005,1907,1991,2070,2095,2252,2028,2141,2798,3760,26579
Electronics and appliance stores,7965,7897,8310,7576,7950,8219,8211,8788,8212,8215,10005,14774,106122
Household appliance stores,1217,1222,1329,1334,1358,1470,1395,1430,1369,1411,1523,1734,16792
Electronics stores,6748,6675,6981,6242,6592,6749,6816,7358,6843,6804,8482,13040,89330
Building mat. and garden equip. and supplies dealers,20056,19965,26297,29822,31644,30931,27368,28332,27402,27708,26720,24557,320802
Building mat. and supplies dealers,18474,18255,23435,25194,26549,26863,24677,25872,25192,25244,24435,22414,286604
Paint and wallpaper stores,611,612,777,847,917,962,887,910,902,886,810,721,9842
Hardware stores,1247,1173,1445,1691,1805,1776,1615,1613,1575,1632,1606,1703,18881
Food and beverage stores,40592,37829,42159,40917,42964,42445,43688,42816,41985,42420,42710,47959,508484
Grocery stores,37176,34286,38210,36908,38742,38219,39289,38627,37844,38251,38354,41761,457667
Supermarkets and other grocery (except convenience) stores,35458,32674,36393,35083,36840,36341,37333,36647,35859,36322,36619,39954,435523
"Beer, wine, and liquor stores",2219,2316,2530,2640,2709,2783,2924,2791,2784,2801,2933,4137,33567
Health and personal care stores,16859,16445,18056,17107,17639,17201,17018,17618,17105,17387,17466,20184,210085
Pharmacies and drug stores,14416,14022,15399,14583,15105,14682,14501,15013,14615,14846,14885,17103,179170
Gasoline stations,25566,24982,29380,30549,31151,31862,33888,36204,36260,36557,31260,31264,378923
Clothing and clothing access. stores,12046,13878,15727,15708,15989,15559,15218,16697,14960,16509,18402,30276,200969
Clothing stores,8932,9501,11744,11544,11502,11479,11267,12148,11142,12387,13649,20280,145575
Men's clothing stores,575,576,699,672,698,719,646,740,634,717,809,1252,8737
Women's clothing stores,2338,2453,3105,3177,3164,3045,2741,2871,2963,3120,3342,4756,37075
Family clothing stores,4425,4903,6098,5977,5962,5963,6135,6591,5770,6634,7547,11287,77292
Other clothing stores,808,704,798,749,766,836,761,839,748,842,830,1463,10144
Shoe stores,1539,1838,2073,2117,2079,1975,2053,2462,1935,2105,2140,2947,25263
Jewelry stores,1469,2412,1786,1924,2261,1968,1767,1954,1756,1892,2471,6761,28421
"Sporting goods, hobby, musical instrument, and book stores",5839,4902,5560,5490,5534,5669,5777,6989,5841,5548,6803,11276,75228
Sporting goods stores,1956,1976,2408,2539,2493,2655,2652,2788,2338,2246,2492,4170,30713
"Hobby, toy, and game stores",950,980,1173,1098,1061,1049,1077,1028,1019,1229,2120,3471,16255
Book stores,2076,1086,1101,997,1120,1154,1214,2218,1554,1064,1151,2257,16992
General merchandise stores,36247,37137,41217,41008,42932,42933,42335,43077,40281,44135,49757,67326,528385
Department stores,14218,14943,16601,16666,16947,17150,16323,17199,15506,17456,21171,31086,215266
Department stores(excl. discount department stores),5217,5870,6390,6549,6648,6591,6005,6601,6118,6712,8414,13636,84751
Discount dept. stores,9001,9073,10211,10117,10299,10559,10318,10598,9388,10744,12757,17450,130515
Other general merchandise stores,22029,22194,24616,24342,25985,25783,26012,25878,24775,26679,28586,36240,313119
Warehouse clubs and superstores,19398,19287,21338,21125,22547,22390,22775,22626,21571,23246,24745,30872,271920
All other gen. merchandise stores,2631,2907,3278,3217,3438,3393,3237,3252,3204,3433,3841,5368,41199
Miscellaneous store retailers,7863,8062,8557,8299,9340,8980,8623,9170,8944,8953,9216,11272,107279
"Office supplies, stationery, and gift stores",2958,3021,3063,2863,3121,3033,3064,3631,3320,3238,3459,5004,39775
Office supplies and stationery stores,1980,1823,1920,1658,1742,1606,1603,2159,1989,1725,1776,2181,22162
"Gift, novelty, and souvenir stores",978,1198,1143,1205,1379,1427,1461,1472,1331,1513,1683,2823,17613
Used merchandise stores,782,713,774,726,745,736,729,757,767,837,889,865,9320
Nonstore retailers,20592,19305,21725,19491,19173,19232,18094,20891,20821,22077,24299,29879,255579
Electronic shopping and mail-order houses,13209,12317,14154,13352,13639,13634,13107,14910,14318,15022,16922,21316,175900
Fuel dealers,4004,3471,3540,2308,1995,1948,1858,2300,2588,2791,3129,4379,34311
Food services and drinking places,29792,29742,32757,33578,34056,33570,34940,34292,32850,33921,32083,34882,396463
Drinking places,1381,1356,1488,1522,1501,1475,1576,1571,1568,1564,1482,1569,18053
Restaurants and other eating places,25914,25934,28566,28911,29547,29239,30593,29898,27866,28912,27582,30191,343153
Full service restaurants,13373,13443,14562,14573,14894,14641,15333,15074,14114,14686,13906,15520,174119
Limited service eating places,12541,12491,14004,14338,14653,14598,15260,14824,13752,14226,13676,14671,169034
