Kind of Business,Jan 2001,Feb 2001,Mar 2001,Apr 2001,May 2001,Jun 2001,Jul 2001,Aug 2001,Sep 2001,Oct 2001,Nov 2001,Dec 2001,Total
All other gen. merchandise stores,2276,2363,2645,2785,2969,2741,2725,2802,2511,2739,3296,4523,34375
Miscellaneous store retailers,7687,7996,8620,7889,9130,8614,8355,9024,7862,8551,8710,10649,103087
"Office supplies, stationery, and gift stores",3156,3074,3181,2876,3123,2922,2913,3563,2917,3064,3416,5180,39385
Office supplies and stationery stores,2013,1781,1839,1503,1586,1487,1520,2090,1697,1648,1658,2063,20885
"Gift, novelty, and souvenir stores",1143,1293,1342,1373,1537,1435,1393,1473,1220,1416,1758,3117,18500
Used merchandise stores,708,784,856,759,796,745,785,782,803,799,809,901,9527
Nonstore retailers,16639,14623,16240,14259,14192,13386,13054,14445,13150,15774,16490,18311,180563
Electronic shopping and mail-order houses,9343,8333,9710,8898,9214,8908,8727,9551,8420,10118,10903,12624,114749
Fuel dealers,4094,3106,2802,2001,1657,1460,1388,1615,1703,1996,2000,2271,26093
Food services and drinking places,23955,23801,27010,25863,27355,27566,27594,28303,25714,26408,25533,27536,316638
Drinking places,1197,1181,1367,1234,1254,1287,1314,1395,1337,1363,1352,1403,15684
Restaurants and other eating places,20613,20547,23239,22217,23460,23725,24019,24531,21899,22504,21946,23934,272634
Full service restaurants,10680,10646,11869,11265,11952,12141,12321,12742,11242,11471,11206,12535,140070
Limited service eating places,9933,9901,11370,10952,11508,11584,11698,11789,10657,11033,10740,11399,132564
