Kind of Business,Jan 2001,Feb 2001,Mar 2001,Apr 2001,May 2001,Jun 2001,Jul 2001,Aug 2001,Sep 2001,Oct 2001,Nov 2001,Dec 2001,Total
"Retail and food services sales, total",250746,247772,280449,274925,296013,287881,279098,294763,261924,291596,287537,326202,3378906
Retail sales and food services excl motor vehicle and parts,191485,186254,209049,207647,221671,215142,210053,221436,200982,212062,222341,265205,2563327
Retail sales and food services excl gasoline stations,230657,228837,259652,253264,272163,264637,257026,272110,240545,271162,269100,308370,3127523
Retail sales and food services excl motor vehicle and parts and gasoline stations,171396,167319,188252,185986,197821,191898,187981,198783,179603,191628,203904,247373,2311944
"Retail sales, total",226791,223971,253439,249062,268658,260315,251504,266460,236210,265188,262004,298666,3062268
"Retail sales, total (excl. motor vehicle and parts dealers)",167530,162453,182039,181784,194316,187576,182459,193133,175268,185654,196808,237669,2246689
GAFO(1),60886,60888,68273,67528,71133,69654,67991,75761,66261,70307,84413,119605,882700
Motor vehicle and parts dealers,59261,61518,71400,67278,74342,72739,69045,73327,60942,79534,65196,60997,815579
Automobile and other motor vehicle dealers,54751,57070,66213,62174,68857,67292,63657,67607,56032,74222,60256,56356,754487
Automobile dealers,51954,54168,62034,57327,63534,62193,58994,63267,52943,70850,57131,53281,707676
New car dealers,47306,49251,56675,52336,58144,57024,54088,58125,48652,65947,52687,49178,649413
Used car dealers,4648,4917,5359,4991,5390,5169,4906,5142,4291,4903,4444,4103,58263
"Automotive parts, acc., and tire stores",4510,4448,5187,5104,5485,5447,5388,5720,4910,5312,4940,4641,61092
"Furniture, home furn, electronics, and appliance stores",14072,13376,14556,13077,14087,14273,14214,15247,13548,14290,16938,22299,179977
Furniture and home furnishings stores,7050,6797,7572,6940,7551,7491,7456,7971,7078,7603,8548,9427,91484
Furniture stores,4052,3930,4350,3886,4148,4223,4145,4332,3950,4131,4633,4792,50572
Home furnishings stores,2998,2867,3222,3054,3403,3268,3311,3639,3128,3472,3915,4635,40912
Floor covering stores,1435,1428,1641,1587,1698,1634,1621,1714,1575,1699,1620,1556,19208
All other home furnishings stores,1473,1361,1490,1388,1617,1545,1593,1820,1462,1667,2173,2958,20547
Electronics and appliance stores,7022,6579,6984,6137,6536,6782,6758,7276,6470,6687,8390,12872,88493
Household appliance stores,996,938,1043,999,1079,1166,1142,1226,1047,1164,1249,1430,13479
Electronics stores,6026,5641,5941,5138,5457,5616,5616,6050,5423,5523,7141,11442,75014
Building mat. and garden equip. and supplies dealers,15734,15638,18978,22735,25115,22931,21200,21084,18749,20965,19029,17221,239379
Building mat. and supplies dealers,13744,13643,16488,18241,20031,19188,18559,19031,16828,18712,17111,15444,207020
Paint and wallpaper stores,576,571,693,739,814,829,830,863,684,791,662,537,8589
Hardware stores,1089,1060,1287,1437,1655,1570,1456,1433,1324,1382,1394,1452,16539
Food and beverage stores,36332,34585,38321,37122,39793,39006,39182,39683,37821,38375,39151,43058,462429
Grocery stores,33236,31488,34856,33685,36068,35215,35418,35919,34379,34847,35308,37708,418127
Supermarkets and other grocery (except convenience) stores,31657,29913,33084,31911,34154,33317,33437,33920,32574,33026,33571,35974,396538
"Beer, wine, and liquor stores",2109,2052,2327,2231,2470,2526,2483,2518,2316,2409,2638,3542,29621
Health and personal care stores,13319,12862,13991,13466,14226,13663,13518,14046,12963,14312,13994,16173,166533
Pharmacies and drug stores,11414,10958,11814,11430,12064,11597,11515,11919,11132,12335,11967,13627,141772
Gasoline stations,20089,18935,20797,21661,23850,23244,22072,22653,21379,20434,18437,17832,251383
Clothing and clothing access. stores,10060,11450,13067,13362,13787,12935,12600,14818,12104,13218,15352,24534,167287
Clothing stores,7211,7820,9492,9676,9674,9292,9055,10567,8910,9815,11212,16484,119208
Men's clothing stores,620,588,681,675,710,702,626,743,610,704,793,1173,8625
Women's clothing stores,1946,2154,2671,2801,2747,2507,2311,2661,2394,2615,2786,3860,31453
Family clothing stores,3444,3748,4575,4750,4768,4651,4663,5384,4462,4918,5942,8845,60150
Other clothing stores,610,607,704,636,701,719,669,751,615,722,786,1368,8888
Shoe stores,1406,1537,1867,2035,2007,1890,1898,2448,1708,1718,1870,2500,22884
Jewelry stores,1322,1960,1569,1534,1977,1617,1519,1667,1383,1575,2137,5301,23561
"Sporting goods, hobby, musical instrument, and book stores",4971,4486,5208,4843,5145,5323,5076,6162,5332,5154,6697,10186,68583
Sporting goods stores,1739,1704,2111,2071,2185,2352,2199,2382,1984,1882,2151,3398,26158
"Hobby, toy, and game stores",880,971,1176,1063,1038,1107,1094,1065,1050,1303,2445,3628,16820
Book stores,1585,1070,1062,934,1070,1077,1005,1820,1406,1015,1098,1956,15098
General merchandise stores,28627,28502,32261,33370,34991,34201,33188,35971,32360,34581,42010,57406,427468
Department stores,15153,15220,17229,17969,18535,17841,17025,19083,16676,17800,22954,32892,228377
Department stores(excl. discount department stores),5834,6206,6884,7089,7256,6732,6252,7497,6489,6922,9240,14381,90782
Discount dept. stores,9319,9014,10345,10880,11279,11109,10773,11586,10187,10878,13714,18511,137595
Other general merchandise stores,13474,13282,15032,15401,16456,16360,16163,16888,15684,16781,19056,24514,199091
Warehouse clubs and superstores,11198,10919,12387,12616,13487,13619,13438,14086,13173,14042,15760,19991,164716
