Kind of Business,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Total
"Retail and food services sales, total",375468,373974,421748,408551,437214,414816,422532,435215,396415,415942,424095,477362,5003332
Retail sales and food services excl motor vehicle and parts,306084,300849,337976,326887,350308,332014,336255,346249,320614,336805,348340,398778,4041159
Retail sales and food services excl gasoline stations,333706,331745,374018,361736,388019,366330,372707,385652,350343,369425,381698,434190,4449569
Retail sales and food services excl motor vehicle and parts and gasoline stations,264322,258620,290246,280072,301113,283528,286430,296686,274542,290288,305943,355606,3487396
"Retail sales, total",333663,332471,374171,362978,389709,369355,377031,388299,352749,369868,378800,430754,4459848
"Retail sales, total (excl. motor vehicle and parts dealers)",264279,259346,290399,281314,302803,286553,290754,299333,276948,290731,303045,352170,3497675
GAFO(1),86297,89304,100628,92422,100605,96807,96603,104854,93006,98325,112537,142384,1213772
Motor vehicle and parts dealers,69384,73125,83772,81664,86906,82802,86277,88966,75801,79137,75755,78584,962173
Automobile and other motor vehicle dealers,62999,66624,76641,74547,79448,75618,78809,81261,68825,71395,68678,71792,876637
Automobile dealers,59981,63193,71700,69013,73193,69762,73343,75873,64594,67373,65195,68648,821868
New car dealers,53205,54771,63412,61553,65942,62723,66302,68513,58264,60591,58914,62963,737153
Used car dealers,6776,8422,8288,7460,7251,7039,7041,7360,6330,6782,6281,5685,84715
"Automotive parts, acc., and tire stores",6385,6501,7131,7117,7458,7184,7468,7705,6976,7742,7077,6792,85536
"Furniture, home furn, electronics, and appliance stores",15471,15361,16179,14692,15752,15457,16078,16906,15744,16139,19244,22247,199270
Furniture and home furnishings stores,7303,7100,7891,7333,7860,7587,8013,8503,7890,8109,8895,9250,95734
Furniture stores,3974,3998,4492,3995,4238,4111,4265,4604,4302,4310,4628,4272,51189
Home furnishings stores,3329,3102,3399,3338,3622,3476,3748,3899,3588,3799,4267,4978,44545
Floor covering stores,1209,1181,1301,1304,1443,1419,1518,1604,1494,1559,1492,1359,16883
All other home furnishings stores,2014,1831,2004,1937,2075,1947,2115,2194,1990,2131,2669,3523,26430
Electronics and appliance stores,8168,8261,8288,7359,7892,7870,8065,8403,7854,8030,10349,12997,103536
Household appliance stores,1241,1291,1382,1311,1483,1410,1501,1479,1412,1452,1609,1648,17219
Electronics stores,6927,6970,6906,6048,6409,6460,6564,6924,6442,6578,8740,11349,86317
Building mat. and garden equip. and supplies dealers,19284,18638,23118,28750,32626,27664,27370,26001,24177,26000,23747,22186,299561
Building mat. and supplies dealers,17033,16372,19735,23775,26416,23379,23878,23012,21382,22833,20828,19049,257692
Paint and wallpaper stores,659,624,738,832,906,862,921,935,822,834,683,595,9411
Hardware stores,1483,1424,1629,1882,2041,1924,1823,1821,1700,1852,1793,1850,21222
Food and beverage stores,51652,48596,54260,50388,55266,53261,54534,55121,51749,53747,54764,58208,641546
Grocery stores,47095,43863,48910,45367,49615,47840,48871,49387,46601,48396,49026,50505,575476
Supermarkets and other grocery (except convenience) stores,45249,42051,46877,43327,47387,45633,46574,47055,44408,46195,46893,48337,549986
"Beer, wine, and liquor stores",3143,3212,3603,3464,3916,3776,3994,4056,3588,3741,4007,5147,45647
Health and personal care stores,23289,21743,23533,22815,23562,22121,23052,23352,22755,24056,23154,26611,280043
Pharmacies and drug stores,19799,18170,19552,19075,19692,18422,19324,19401,19047,20286,19361,21849,233978
Gasoline stations,41762,42229,47730,46815,49195,48486,49825,49563,46072,46517,42397,43172,553763
Clothing and clothing access. stores,15165,17397,20591,19194,20803,18964,19202,21591,18136,19884,22472,31646,245045
Clothing stores,11297,12242,15366,14103,15153,14128,14313,15645,13471,14816,16783,21730,179047
Men's clothing stores,603,566,690,728,761,691,662,704,699,807,821,1118,8850
Women's clothing stores,2657,2797,3720,3495,3724,3253,3161,3458,3266,3483,3793,4701,41508
Family clothing stores,5655,6309,7971,7293,7981,7485,7857,8365,7070,8000,9283,11994,95263
Other clothing stores,1037,1147,1348,1192,1198,1266,1132,1318,1050,1070,1219,1579,14556
Shoe stores,1898,2416,2866,2647,2677,2481,2651,3562,2450,2623,2799,3719,32789
Jewelry stores,1792,2545,2144,2244,2719,2137,2018,2149,2001,2232,2657,5781,30419
"Sporting goods, hobby, musical instrument, and book stores",6526,5586,6622,5952,6377,6500,6445,7711,6333,6053,7531,11150,82786
Sporting goods stores,3071,3015,3831,3427,3656,3953,3818,4158,3229,3160,3748,5511,44577
"Hobby, toy, and game stores",1029,1079,1250,1117,1127,1067,1118,1156,1172,1351,2156,3298,16920
Book stores,1660,742,707,664,821,724,705,1568,1106,718,742,1323,11480
General merchandise stores,46639,48542,54707,50122,54971,53381,52095,55384,50059,53095,60571,74009,653575
Department stores,11307,12042,13922,12562,14037,13339,12611,14159,12517,13332,16905,23827,170560
Department stores(excl. discount department stores),3719,4101,4769,4512,4972,4519,4082,4641,4396,4634,6180,9504,60029
Discount dept. stores,7588,7941,9153,8050,9065,8820,8529,9518,8121,8698,10725,14323,110531
Other general merchandise stores,35332,36500,40785,37560,40934,40042,39484,41225,37542,39763,43666,50182,483015
Warehouse clubs and superstores,31056,31928,35671,32722,35530,34923,34478,36142,32701,34495,38070,43316,421032
All other gen. merchandise stores,4276,4572,5114,4838,5404,5119,5006,5083,4841,5268,5596,6866,61983
Miscellaneous store retailers,8078,8159,8901,8909,10318,9263,9353,9856,9270,10044,9480,10471,112102
"Office supplies, stationery, and gift stores",2496,2418,2529,2462,2702,2505,2783,3262,2734,3154,2719,3332,33096
Office supplies and stationery stores,1544,1367,1363,1302,1257,1151,1290,1783,1419,1304,1309,1459,16548
"Gift, novelty, and souvenir stores",952,1051,1166,1160,1445,1354,1493,1479,1315,1850,1410,1873,16548
Used merchandise stores,1173,1142,1270,1198,1265,1237,1300,1391,1221,1416,1317,1220,15150
Nonstore retailers,36413,33095,34758,33677,33933,31456,32800,33848,32653,35196,39685,52470,429984
Electronic shopping and mail-order houses,27927,25046,27016,27096,27709,25811,27061,27923,26934,28301,32121,43273,346218
Fuel dealers,5017,4633,4016,2875,2199,1783,1900,1974,2232,3014,3738,5256,38637
Food services and drinking places,41805,41503,47577,45573,47505,45461,45501,46916,43666,46074,45295,46608,543484
Drinking places,1692,1672,2020,1764,1844,1714,1707,1795,1710,1818,1773,1722,21231
Restaurants and other eating places,36471,36042,41455,39287,41186,39908,40100,41016,37362,39267,38945,40635,471674
Full service restaurants,18538,18344,21122,19638,20546,19783,19617,20396,18514,19540,19718,21110,236866
Limited service eating places,17933,17698,20333,19649,20640,20125,20483,20620,18848,19727,19227,19525,234808
